"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/4/2016","01:25:57","2648.170000","W"
"10/4/2016","01:25:58","2648.170000","W"
"10/4/2016","01:25:59","2645.400000","W"
"10/4/2016","01:26:00","2645.840000","W"
"10/4/2016","01:26:01","2645.840000","W"
"10/4/2016","01:26:02","2669.940000","W"
"10/4/2016","01:26:03","2640.960000","W"
"10/4/2016","01:26:04","2640.960000","W"
"10/4/2016","01:26:05","2637.960000","W"
"10/4/2016","01:26:06","2641.450000","W"
"10/4/2016","01:26:15","2643.840000","W"
"10/4/2016","01:26:16","2643.840000","W"
"10/4/2016","01:26:17","2661.270000","W"
"10/4/2016","01:26:18","2645.350000","W"
"10/4/2016","01:26:19","2645.350000","W"
"10/4/2016","01:26:20","2642.790000","W"
"10/4/2016","01:26:21","2641.640000","W"
"10/4/2016","01:26:22","2641.640000","W"
"10/4/2016","01:26:23","2652.530000","W"
"10/4/2016","01:26:24","2652.130000","W"
"10/4/2016","01:26:25","2652.130000","W"
"10/4/2016","01:26:26","2651.920000","W"
"10/4/2016","01:26:27","2669.700000","W"
"10/4/2016","01:26:28","2669.700000","W"
"10/4/2016","01:26:29","2658.680000","W"
"10/4/2016","01:26:30","2643.930000","W"
"10/4/2016","01:26:31","2639.870000","W"
"10/4/2016","01:26:32","2639.870000","W"
"10/4/2016","01:26:33","2633.980000","W"
"10/4/2016","01:26:34","2640.470000","W"
"10/4/2016","01:26:35","2640.470000","W"
"10/4/2016","01:26:36","2640.150000","W"
"10/4/2016","01:26:37","2657.510000","W"
"10/4/2016","01:26:38","2657.510000","W"
"10/4/2016","01:26:39","2641.140000","W"
"10/4/2016","01:26:40","2643.800000","W"
"10/4/2016","01:26:41","2643.800000","W"
"10/4/2016","01:26:42","2636.950000","W"
"10/4/2016","01:26:43","2670.310000","W"
"10/4/2016","01:26:44","2670.310000","W"
"10/4/2016","01:26:45","2646.540000","W"
"10/4/2016","01:26:46","2639.150000","W"
"10/4/2016","01:26:47","2640.780000","W"
"10/4/2016","01:26:48","2640.780000","W"
"10/4/2016","01:26:49","2636.400000","W"
"10/4/2016","01:26:50","2642.390000","W"
"10/4/2016","01:26:51","2642.390000","W"
"10/4/2016","01:26:52","2644.440000","W"
"10/4/2016","01:26:53","2638.490000","W"
"10/4/2016","01:26:54","2638.490000","W"
"10/4/2016","01:26:55","2654.610000","W"
"10/4/2016","01:26:56","2649.740000","W"
"10/4/2016","01:26:57","2649.740000","W"
"10/4/2016","01:26:58","2651.800000","W"
"10/4/2016","01:26:59","2652.540000","W"
"10/4/2016","01:27:00","2652.540000","W"
"10/4/2016","01:27:01","2651.880000","W"
"10/4/2016","01:27:02","2648.460000","W"
"10/4/2016","01:27:03","2648.460000","W"
"10/4/2016","01:27:04","2654.140000","W"
"10/4/2016","01:27:05","2640.530000","W"
"10/4/2016","01:27:06","2641.560000","W"
"10/4/2016","01:27:07","2641.560000","W"
"10/4/2016","01:27:08","2639.890000","W"
"10/4/2016","01:27:09","2642.480000","W"
"10/4/2016","01:27:10","2642.480000","W"
"10/4/2016","01:27:11","2645.740000","W"
"10/4/2016","01:27:12","2635.110000","W"
"10/4/2016","01:27:13","2635.110000","W"
"10/4/2016","01:27:14","2640.320000","W"
"10/4/2016","01:27:15","2639.770000","W"
"10/4/2016","01:27:16","2639.770000","W"
"10/4/2016","01:27:17","2643.550000","W"
"10/4/2016","01:27:18","2640.370000","W"
"10/4/2016","01:27:19","2640.370000","W"
"10/4/2016","01:27:20","2638.430000","W"
"10/4/2016","01:27:21","2641.200000","W"
"10/4/2016","01:27:22","2641.200000","W"
"10/4/2016","01:27:23","2651.220000","W"
"10/4/2016","01:27:24","2637.140000","W"
"10/4/2016","01:27:25","2637.140000","W"
"10/4/2016","01:27:26","2640.130000","W"
"10/4/2016","01:27:27","2643.590000","W"
"10/4/2016","01:27:28","2658.430000","W"
"10/4/2016","01:27:29","2658.430000","W"
"10/4/2016","01:27:30","2646.510000","W"
"10/4/2016","01:27:31","2646.510000","W"
"10/4/2016","01:27:32","2827.490000","W"
"10/4/2016","01:27:33","3044.970000","W"
"10/4/2016","01:27:34","2773.050000","W"
"10/4/2016","01:27:35","2773.050000","W"
"10/4/2016","01:27:36","3251.850000","W"
