"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/4/2016","17:48:29","2660.280000","W"
"10/4/2016","17:48:30","2642.690000","W"
"10/4/2016","17:48:31","2651.590000","W"
"10/4/2016","17:48:32","2651.590000","W"
"10/4/2016","17:48:33","2653.060000","W"
"10/4/2016","17:48:34","2643.010000","W"
"10/4/2016","17:48:35","2643.010000","W"
"10/4/2016","17:48:36","2644.690000","W"
"10/4/2016","17:48:37","2667.900000","W"
"10/4/2016","17:48:38","2667.900000","W"
"10/4/2016","17:48:39","2649.090000","W"
"10/4/2016","17:48:40","2652.730000","W"
"10/4/2016","17:48:41","2652.730000","W"
"10/4/2016","17:48:42","2675.910000","W"
"10/4/2016","17:48:43","2647.090000","W"
"10/4/2016","17:48:44","2647.090000","W"
"10/4/2016","17:48:45","2652.490000","W"
"10/4/2016","17:48:46","2659.110000","W"
"10/4/2016","17:48:47","2646.280000","W"
"10/4/2016","17:48:48","2646.280000","W"
"10/4/2016","17:48:49","2654.010000","W"
"10/4/2016","17:48:50","2644.310000","W"
"10/4/2016","17:48:51","2644.310000","W"
"10/4/2016","17:48:52","2646.900000","W"
"10/4/2016","17:48:53","2653.160000","W"
"10/4/2016","17:48:54","2653.160000","W"
"10/4/2016","17:48:55","2646.140000","W"
"10/4/2016","17:48:56","2641.030000","W"
"10/4/2016","17:48:57","2641.030000","W"
"10/4/2016","17:48:58","2645.930000","W"
"10/4/2016","17:48:59","2686.920000","W"
"10/4/2016","17:49:00","2686.920000","W"
"10/4/2016","17:49:01","2648.010000","W"
"10/4/2016","17:49:02","2644.430000","W"
"10/4/2016","17:49:03","2644.430000","W"
"10/4/2016","17:49:04","2653.600000","W"
"10/4/2016","17:49:05","2647.630000","W"
"10/4/2016","17:49:06","2647.630000","W"
"10/4/2016","17:49:07","2641.310000","W"
"10/4/2016","17:49:08","2647.960000","W"
"10/4/2016","17:49:09","2640.050000","W"
"10/4/2016","17:49:10","2640.050000","W"
"10/4/2016","17:49:11","2647.290000","W"
"10/4/2016","17:49:12","2639.090000","W"
"10/4/2016","17:49:13","2639.090000","W"
"10/4/2016","17:49:14","2652.230000","W"
"10/4/2016","17:49:15","2644.920000","W"
"10/4/2016","17:49:16","2644.920000","W"
"10/4/2016","17:49:17","2655.110000","W"
"10/4/2016","17:49:18","2642.580000","W"
"10/4/2016","17:49:19","2642.580000","W"
"10/4/2016","17:49:20","2651.120000","W"
"10/4/2016","17:49:21","2651.850000","W"
"10/4/2016","17:49:22","2651.850000","W"
"10/4/2016","17:49:23","2646.160000","W"
"10/4/2016","17:49:24","2648.550000","W"
"10/4/2016","17:49:25","2648.550000","W"
"10/4/2016","17:49:26","2648.740000","W"
"10/4/2016","17:49:27","2655.820000","W"
"10/4/2016","17:49:28","2653.480000","W"
"10/4/2016","17:49:29","2653.480000","W"
"10/4/2016","17:49:30","2643.610000","W"
"10/4/2016","17:49:31","2640.110000","W"
"10/4/2016","17:49:32","2640.110000","W"
"10/4/2016","17:49:33","2648.710000","W"
"10/4/2016","17:49:34","2650.720000","W"
"10/4/2016","17:49:35","2650.720000","W"
"10/4/2016","17:49:36","2645.880000","W"
"10/4/2016","17:49:37","2844.690000","W"
"10/4/2016","17:49:38","2844.690000","W"
"10/4/2016","17:49:39","2747.050000","W"
"10/4/2016","17:49:40","2703.110000","W"
"10/4/2016","17:49:41","2703.110000","W"
"10/4/2016","17:49:42","2679.620000","W"
"10/4/2016","17:49:43","2668.490000","W"
"10/4/2016","17:49:44","2671.480000","W"
"10/4/2016","17:49:45","2671.480000","W"
"10/4/2016","17:49:46","2681.160000","W"
"10/4/2016","17:49:47","2655.730000","W"
"10/4/2016","17:49:48","2655.730000","W"
"10/4/2016","17:49:49","2644.380000","W"
"10/4/2016","17:49:50","2668.900000","W"
"10/4/2016","17:49:51","2668.900000","W"
"10/4/2016","17:49:52","2700.880000","W"
"10/4/2016","17:49:53","2665.350000","W"
"10/4/2016","17:49:54","2665.350000","W"
"10/4/2016","17:49:55","2679.770000","W"
"10/4/2016","17:49:56","2655.070000","W"
"10/4/2016","17:49:57","2655.070000","W"
"10/4/2016","17:49:58","2656.000000","W"
"10/4/2016","17:49:59","2646.930000","W"
"10/4/2016","17:50:00","2646.930000","W"
"10/4/2016","17:50:01","2646.790000","W"
"10/4/2016","17:50:02","2654.730000","W"
"10/4/2016","17:50:03","2650.870000","W"
"10/4/2016","17:50:04","2650.870000","W"
"10/4/2016","17:50:05","2647.980000","W"
"10/4/2016","17:50:06","2646.690000","W"
"10/4/2016","17:50:07","2646.690000","W"
"10/4/2016","17:50:08","2657.990000","W"
"10/4/2016","17:50:09","2649.140000","W"
"10/4/2016","17:50:10","2649.140000","W"
"10/4/2016","17:50:11","2657.790000","W"
"10/4/2016","17:50:12","2658.360000","W"
"10/4/2016","17:50:13","2658.360000","W"
"10/4/2016","17:50:14","2646.310000","W"
"10/4/2016","17:50:15","2644.600000","W"
"10/4/2016","17:50:16","2644.600000","W"
"10/4/2016","17:50:17","2660.440000","W"
"10/4/2016","17:50:18","2646.800000","W"
"10/4/2016","17:50:19","2646.800000","W"
"10/4/2016","17:50:20","2647.500000","W"
"10/4/2016","17:50:21","2641.390000","W"
"10/4/2016","17:50:22","2670.600000","W"
"10/4/2016","17:50:23","2670.600000","W"
"10/4/2016","17:50:24","2671.390000","W"
"10/4/2016","17:50:25","2650.280000","W"
"10/4/2016","17:50:26","2650.280000","W"
"10/4/2016","17:50:27","2659.250000","W"
"10/4/2016","17:50:28","2663.040000","W"
"10/4/2016","17:50:29","2663.040000","W"
"10/4/2016","17:50:30","2648.660000","W"
"10/4/2016","17:50:31","2653.580000","W"
"10/4/2016","17:50:32","2653.580000","W"
"10/4/2016","17:50:33","2650.200000","W"
"10/4/2016","17:50:34","2646.460000","W"
"10/4/2016","17:50:35","2646.460000","W"
"10/4/2016","17:50:36","2644.640000","W"
"10/4/2016","17:50:37","2664.520000","W"
"10/4/2016","17:50:38","2664.520000","W"
"10/4/2016","17:50:39","2651.950000","W"
"10/4/2016","17:50:40","2643.390000","W"
"10/4/2016","17:50:41","2643.390000","W"
"10/4/2016","17:50:42","2657.960000","W"
"10/4/2016","17:50:43","2675.690000","W"
"10/4/2016","17:50:44","2675.690000","W"
"10/4/2016","17:50:45","2693.850000","W"
"10/4/2016","17:50:46","2662.460000","W"
"10/4/2016","17:50:47","2662.460000","W"
"10/4/2016","17:50:48","2642.280000","W"
"10/4/2016","17:50:49","2672.860000","W"
"10/4/2016","17:50:50","2672.860000","W"
"10/4/2016","17:50:51","2651.910000","W"
"10/4/2016","17:50:52","2655.090000","W"
"10/4/2016","17:50:53","2655.090000","W"
"10/4/2016","17:50:54","2659.740000","W"
"10/4/2016","17:50:55","2646.900000","W"
"10/4/2016","17:50:56","2646.900000","W"
"10/4/2016","17:50:57","2646.730000","W"
"10/4/2016","17:50:58","2709.590000","W"
"10/4/2016","17:50:59","2646.010000","W"
"10/4/2016","17:51:00","2646.010000","W"
"10/4/2016","17:51:01","2664.120000","W"
"10/4/2016","17:51:02","2654.330000","W"
"10/4/2016","17:51:03","2654.330000","W"
"10/4/2016","17:51:04","2644.540000","W"
"10/4/2016","17:51:05","2669.540000","W"
"10/4/2016","17:51:06","2669.540000","W"
"10/4/2016","17:51:07","2668.080000","W"
"10/4/2016","17:51:08","2653.730000","W"
"10/4/2016","17:51:09","2653.730000","W"
"10/4/2016","17:51:10","2665.520000","W"
"10/4/2016","17:51:11","2648.220000","W"
"10/4/2016","17:51:12","2648.220000","W"
"10/4/2016","17:51:13","2652.060000","W"
"10/4/2016","17:51:14","2649.200000","W"
"10/4/2016","17:51:15","2649.200000","W"
"10/4/2016","17:51:16","2645.050000","W"
"10/4/2016","17:51:17","2661.930000","W"
"10/4/2016","17:51:18","2661.930000","W"
"10/4/2016","17:51:19","2658.890000","W"
"10/4/2016","17:51:20","2644.590000","W"
"10/4/2016","17:51:21","2644.590000","W"
"10/4/2016","17:51:22","2640.360000","W"
"10/4/2016","17:51:23","2678.410000","W"
"10/4/2016","17:51:24","2679.280000","W"
"10/4/2016","17:51:25","2679.280000","W"
"10/4/2016","17:51:26","2649.630000","W"
"10/4/2016","17:51:27","2655.800000","W"
"10/4/2016","17:51:28","2655.800000","W"
"10/4/2016","17:51:29","2651.450000","W"
"10/4/2016","17:51:30","2650.960000","W"
"10/4/2016","17:51:31","2650.960000","W"
"10/4/2016","17:51:32","2642.740000","W"
"10/4/2016","17:51:33","2640.740000","W"
"10/4/2016","17:51:34","2640.740000","W"
"10/4/2016","17:51:35","2663.240000","W"
"10/4/2016","17:51:36","2681.740000","W"
"10/4/2016","17:51:37","2681.740000","W"
"10/4/2016","17:51:38","2683.850000","W"
"10/4/2016","17:51:39","2642.640000","W"
"10/4/2016","17:51:40","2642.640000","W"
"10/4/2016","17:51:41","2642.620000","W"
"10/4/2016","17:51:42","2657.970000","W"
"10/4/2016","17:51:43","2643.060000","W"
"10/4/2016","17:51:44","2643.060000","W"
"10/4/2016","17:51:45","2648.160000","W"
"10/4/2016","17:51:46","2663.190000","W"
"10/4/2016","17:51:47","2663.190000","W"
"10/4/2016","17:51:48","2678.050000","W"
"10/4/2016","17:51:49","3121.930000","W"
"10/4/2016","17:51:50","3121.930000","W"
"10/4/2016","17:51:51","3443.890000","W"
"10/4/2016","17:51:52","3403.320000","W"
"10/4/2016","17:51:53","3403.320000","W"
"10/4/2016","17:51:54","3174.570000","W"
"10/4/2016","17:51:55","3098.040000","W"
"10/4/2016","17:51:56","3098.040000","W"
"10/4/2016","17:51:57","3027.310000","W"
"10/4/2016","17:51:58","3415.240000","W"
"10/4/2016","17:51:59","3415.240000","W"
"10/4/2016","17:52:00","3709.110000","W"
"10/4/2016","17:52:01","4677.940000","W"
"10/4/2016","17:52:02","4677.940000","W"
"10/4/2016","17:52:03","4606.240000","W"
"10/4/2016","17:52:04","4667.520000","W"
"10/4/2016","17:52:05","4667.520000","W"
"10/4/2016","17:52:06","4680.330000","W"
"10/4/2016","17:52:07","4627.140000","W"
"10/4/2016","17:52:08","4627.140000","W"
"10/4/2016","17:52:09","4574.850000","W"
"10/4/2016","17:52:10","4753.550000","W"
"10/4/2016","17:52:11","4646.200000","W"
"10/4/2016","17:52:12","4646.200000","W"
"10/4/2016","17:52:13","4485.120000","W"
"10/4/2016","17:52:14","4251.050000","W"
"10/4/2016","17:52:15","4251.050000","W"
"10/4/2016","17:52:16","4278.490000","W"
"10/4/2016","17:52:17","4171.780000","W"
"10/4/2016","17:52:18","4171.780000","W"
"10/4/2016","17:52:19","3440.530000","W"
"10/4/2016","17:52:20","3496.810000","W"
"10/4/2016","17:52:21","3496.810000","W"
"10/4/2016","17:52:22","3294.900000","W"
"10/4/2016","17:52:23","3494.890000","W"
"10/4/2016","17:52:24","3494.890000","W"
"10/4/2016","17:52:25","3423.890000","W"
"10/4/2016","17:52:26","3397.300000","W"
"10/4/2016","17:52:27","3397.300000","W"
"10/4/2016","17:52:28","3776.970000","W"
"10/4/2016","17:52:29","3691.940000","W"
"10/4/2016","17:52:30","3693.160000","W"
"10/4/2016","17:52:31","3693.160000","W"
"10/4/2016","17:52:32","3757.040000","W"
"10/4/2016","17:52:33","3637.480000","W"
"10/4/2016","17:52:34","3637.480000","W"
"10/4/2016","17:52:35","3543.530000","W"
"10/4/2016","17:52:36","3647.980000","W"
"10/4/2016","17:52:37","3647.980000","W"
"10/4/2016","17:52:38","3573.240000","W"
"10/4/2016","17:52:39","3511.000000","W"
"10/4/2016","17:52:40","3511.000000","W"
"10/4/2016","17:52:41","3632.470000","W"
"10/4/2016","17:52:42","3587.390000","W"
"10/4/2016","17:52:43","3709.520000","W"
"10/4/2016","17:52:44","3709.520000","W"
"10/4/2016","17:52:45","3396.530000","W"
"10/4/2016","17:52:46","3653.670000","W"
"10/4/2016","17:52:47","3653.670000","W"
"10/4/2016","17:52:48","3342.400000","W"
"10/4/2016","17:52:49","3517.880000","W"
"10/4/2016","17:52:50","3517.880000","W"
"10/4/2016","17:52:51","3843.860000","W"
"10/4/2016","17:52:52","3915.080000","W"
"10/4/2016","17:52:53","3915.080000","W"
"10/4/2016","17:52:54","4042.450000","W"
"10/4/2016","17:52:55","4162.690000","W"
"10/4/2016","17:52:56","4162.690000","W"
"10/4/2016","17:52:57","4129.350000","W"
"10/4/2016","17:52:58","3814.190000","W"
"10/4/2016","17:52:59","3814.190000","W"
"10/4/2016","17:53:00","3773.330000","W"
"10/4/2016","17:53:01","3568.030000","W"
"10/4/2016","17:53:02","3475.770000","W"
"10/4/2016","17:53:03","3475.770000","W"
"10/4/2016","17:53:04","3411.050000","W"
"10/4/2016","17:53:05","3411.050000","W"
"10/4/2016","17:53:06","3444.100000","W"
"10/4/2016","17:53:07","2905.840000","W"
"10/4/2016","17:53:08","3078.740000","W"
"10/4/2016","17:53:09","3078.740000","W"
"10/4/2016","17:53:10","2868.050000","W"
"10/4/2016","17:53:11","3055.410000","W"
"10/4/2016","17:53:12","3055.410000","W"
"10/4/2016","17:53:13","3002.200000","W"
"10/4/2016","17:53:14","2895.520000","W"
"10/4/2016","17:53:15","2895.520000","W"
"10/4/2016","17:53:16","3013.690000","W"
"10/4/2016","17:53:17","2968.550000","W"
"10/4/2016","17:53:18","2968.550000","W"
"10/4/2016","17:53:19","3004.580000","W"
"10/4/2016","17:53:20","3082.420000","W"
"10/4/2016","17:53:21","3082.420000","W"
"10/4/2016","17:53:22","3008.590000","W"
"10/4/2016","17:53:23","3174.400000","W"
"10/4/2016","17:53:24","3174.400000","W"
"10/4/2016","17:53:25","2921.200000","W"
"10/4/2016","17:53:26","2707.300000","W"
"10/4/2016","17:53:27","2707.300000","W"
"10/4/2016","17:53:28","2732.340000","W"
"10/4/2016","17:53:29","2698.010000","W"
"10/4/2016","17:53:30","2714.120000","W"
"10/4/2016","17:53:31","2714.120000","W"
"10/4/2016","17:53:32","2674.360000","W"
"10/4/2016","17:53:33","2674.360000","W"
"10/4/2016","17:53:34","2677.020000","W"
"10/4/2016","17:53:35","2700.290000","W"
"10/4/2016","17:53:36","2695.790000","W"
"10/4/2016","17:53:37","2695.790000","W"
"10/4/2016","17:53:38","2697.130000","W"
"10/4/2016","17:53:39","2758.340000","W"
"10/4/2016","17:53:40","2758.340000","W"
"10/4/2016","17:53:41","2694.960000","W"
"10/4/2016","17:53:42","2683.040000","W"
"10/4/2016","17:53:43","2683.040000","W"
"10/4/2016","17:53:44","2671.400000","W"
"10/4/2016","17:53:45","2687.630000","W"
"10/4/2016","17:53:46","2687.630000","W"
"10/4/2016","17:53:47","2722.780000","W"
"10/4/2016","17:53:48","2704.710000","W"
"10/4/2016","17:53:49","2704.710000","W"
"10/4/2016","17:53:50","2772.010000","W"
"10/4/2016","17:53:51","3014.020000","W"
"10/4/2016","17:53:52","3014.020000","W"
"10/4/2016","17:53:53","2868.320000","W"
"10/4/2016","17:53:54","3109.580000","W"
"10/4/2016","17:53:55","3217.200000","W"
"10/4/2016","17:53:56","3217.200000","W"
"10/4/2016","17:53:57","3710.690000","W"
"10/4/2016","17:53:58","3276.520000","W"
"10/4/2016","17:53:59","3276.520000","W"
"10/4/2016","17:54:00","3085.690000","W"
"10/4/2016","17:54:01","2843.220000","W"
"10/4/2016","17:54:02","2843.220000","W"
"10/4/2016","17:54:03","2685.200000","W"
