"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/4/2016","01:26:15","2648.200000","W"
"10/4/2016","01:26:18","2644.710000","W"
"10/4/2016","01:26:21","2644.360000","W"
"10/4/2016","01:26:24","2652.080000","W"
"10/4/2016","01:26:27","2666.940000","W"
"10/4/2016","01:26:30","2642.160000","W"
"10/4/2016","01:26:33","2636.820000","W"
"10/4/2016","01:26:36","2647.740000","W"
"10/4/2016","01:26:39","2642.300000","W"
"10/4/2016","01:26:42","2651.540000","W"
"10/4/2016","01:26:45","2643.720000","W"
"10/4/2016","01:26:48","2640.360000","W"
"10/4/2016","01:26:51","2641.800000","W"
"10/4/2016","01:26:54","2644.330000","W"
"10/4/2016","01:26:57","2650.820000","W"
"10/4/2016","01:27:00","2651.390000","W"
"10/4/2016","01:27:03","2647.540000","W"
"10/4/2016","01:27:06","2641.140000","W"
"10/4/2016","01:27:09","2643.290000","W"
"10/4/2016","01:27:12","2636.410000","W"
"10/4/2016","01:27:15","2640.710000","W"
"10/4/2016","01:27:18","2639.880000","W"
"10/4/2016","01:27:21","2643.700000","W"
"10/4/2016","01:27:24","2637.890000","W"
"10/4/2016","01:27:27","2650.080000","W"
"10/4/2016","01:27:30","2691.760000","W"
"10/4/2016","01:27:33","2926.010000","W"
"10/4/2016","01:27:36","3472.520000","W"
"10/4/2016","01:27:39","4912.050000","W"
"10/4/2016","01:27:42","3146.660000","W"
"10/4/2016","01:27:45","4000.920000","W"
"10/4/2016","01:27:48","3890.720000","W"
"10/4/2016","01:27:51","3921.410000","W"
"10/4/2016","01:27:54","4346.490000","W"
"10/4/2016","01:27:57","5306.840000","W"
"10/4/2016","01:28:00","6031.740000","W"
"10/4/2016","01:28:03","5825.220000","W"
"10/4/2016","01:28:06","5617.860000","W"
"10/4/2016","01:28:09","5739.030000","W"
"10/4/2016","01:28:12","5705.810000","W"
"10/4/2016","01:28:15","5733.160000","W"
"10/4/2016","01:28:18","5761.810000","W"
"10/4/2016","01:28:21","5706.780000","W"
"10/4/2016","01:28:24","5763.890000","W"
"10/4/2016","01:28:27","5693.880000","W"
"10/4/2016","01:28:30","5711.090000","W"
"10/4/2016","01:28:33","5781.940000","W"
"10/4/2016","01:28:36","5805.780000","W"
"10/4/2016","01:28:39","5895.970000","W"
"10/4/2016","01:28:42","5836.170000","W"
"10/4/2016","01:28:45","5958.830000","W"
"10/4/2016","01:28:48","5918.220000","W"
