"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/4/2016","10:08:24","2635.370000","W"
"10/4/2016","10:08:25","2635.370000","W"
"10/4/2016","10:08:26","2637.090000","W"
"10/4/2016","10:08:27","2658.160000","W"
"10/4/2016","10:08:28","2658.160000","W"
"10/4/2016","10:08:29","2649.420000","W"
"10/4/2016","10:08:30","2644.670000","W"
"10/4/2016","10:08:31","2644.670000","W"
"10/4/2016","10:08:32","2632.280000","W"
"10/4/2016","10:08:33","2640.710000","W"
"10/4/2016","10:08:34","2640.710000","W"
"10/4/2016","10:08:35","2634.500000","W"
"10/4/2016","10:08:36","2642.340000","W"
"10/4/2016","10:08:37","2642.340000","W"
"10/4/2016","10:08:38","2642.930000","W"
"10/4/2016","10:08:39","2634.340000","W"
"10/4/2016","10:08:40","2634.340000","W"
"10/4/2016","10:08:41","2635.030000","W"
"10/4/2016","10:08:42","2635.440000","W"
"10/4/2016","10:08:43","2635.440000","W"
"10/4/2016","10:08:44","2670.470000","W"
"10/4/2016","10:08:45","2639.330000","W"
"10/4/2016","10:08:46","2639.330000","W"
"10/4/2016","10:08:47","2636.000000","W"
"10/4/2016","10:08:48","2637.650000","W"
"10/4/2016","10:08:49","2632.710000","W"
"10/4/2016","10:08:50","2632.710000","W"
"10/4/2016","10:08:51","2641.050000","W"
"10/4/2016","10:08:52","2637.310000","W"
"10/4/2016","10:08:53","2637.310000","W"
"10/4/2016","10:08:54","2635.450000","W"
"10/4/2016","10:08:55","2637.850000","W"
"10/4/2016","10:08:56","2637.850000","W"
"10/4/2016","10:08:57","2641.130000","W"
"10/4/2016","10:08:58","2958.270000","W"
"10/4/2016","10:08:59","2958.270000","W"
"10/4/2016","10:09:00","3119.310000","W"
"10/4/2016","10:09:01","2762.850000","W"
"10/4/2016","10:09:02","2762.850000","W"
"10/4/2016","10:09:03","2919.590000","W"
"10/4/2016","10:09:04","2650.900000","W"
"10/4/2016","10:09:05","2650.900000","W"
"10/4/2016","10:09:06","2641.120000","W"
"10/4/2016","10:09:07","2638.200000","W"
"10/4/2016","10:09:08","2638.200000","W"
"10/4/2016","10:09:09","2650.640000","W"
"10/4/2016","10:09:10","2644.380000","W"
"10/4/2016","10:09:11","2639.430000","W"
"10/4/2016","10:09:12","2639.430000","W"
