"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/5/2016","01:23:00","2645.140000","W"
"10/5/2016","01:23:03","2651.910000","W"
"10/5/2016","01:23:06","2650.120000","W"
"10/5/2016","01:23:09","2650.830000","W"
"10/5/2016","01:23:12","2652.600000","W"
"10/5/2016","01:23:15","2649.620000","W"
"10/5/2016","01:23:18","2662.320000","W"
"10/5/2016","01:23:21","2647.120000","W"
"10/5/2016","01:23:24","2646.070000","W"
"10/5/2016","01:23:27","2652.750000","W"
"10/5/2016","01:23:30","2755.230000","W"
"10/5/2016","01:23:33","2703.540000","W"
"10/5/2016","01:23:36","2675.270000","W"
"10/5/2016","01:23:39","2673.150000","W"
"10/5/2016","01:23:42","2663.360000","W"
"10/5/2016","01:23:45","2665.860000","W"
"10/5/2016","01:23:48","2647.700000","W"
"10/5/2016","01:23:51","2665.030000","W"
"10/5/2016","01:23:54","2647.380000","W"
"10/5/2016","01:23:57","2647.840000","W"
"10/5/2016","01:24:00","2647.490000","W"
"10/5/2016","01:24:03","2649.320000","W"
"10/5/2016","01:24:06","2675.470000","W"
"10/5/2016","01:24:09","2665.960000","W"
"10/5/2016","01:24:12","2656.350000","W"
"10/5/2016","01:24:15","2658.820000","W"
"10/5/2016","01:24:18","2651.090000","W"
"10/5/2016","01:24:21","2645.930000","W"
"10/5/2016","01:24:24","2660.870000","W"
"10/5/2016","01:24:27","2684.530000","W"
"10/5/2016","01:24:30","2683.090000","W"
"10/5/2016","01:24:33","2672.740000","W"
"10/5/2016","01:24:36","2665.340000","W"
"10/5/2016","01:24:39","2678.620000","W"
"10/5/2016","01:24:42","2671.370000","W"
"10/5/2016","01:24:45","2662.220000","W"
"10/5/2016","01:24:48","2656.920000","W"
"10/5/2016","01:24:51","2655.870000","W"
"10/5/2016","01:24:54","2658.380000","W"
"10/5/2016","01:24:57","2648.870000","W"
"10/5/2016","01:25:00","2654.770000","W"
"10/5/2016","01:25:03","2670.740000","W"
"10/5/2016","01:25:06","2663.270000","W"
"10/5/2016","01:25:09","2652.840000","W"
"10/5/2016","01:25:12","2654.560000","W"
"10/5/2016","01:25:15","2668.290000","W"
"10/5/2016","01:25:18","2657.570000","W"
"10/5/2016","01:25:21","2653.860000","W"
"10/5/2016","01:25:24","2653.450000","W"
"10/5/2016","01:25:27","2655.020000","W"
"10/5/2016","01:25:30","2655.230000","W"
"10/5/2016","01:25:33","2648.030000","W"
"10/5/2016","01:25:36","2658.070000","W"
"10/5/2016","01:25:39","2651.450000","W"
"10/5/2016","01:25:42","2651.780000","W"
"10/5/2016","01:25:45","2660.880000","W"
"10/5/2016","01:25:48","2655.700000","W"
"10/5/2016","01:25:51","2654.390000","W"
"10/5/2016","01:25:54","2656.250000","W"
"10/5/2016","01:25:57","2647.060000","W"
"10/5/2016","01:26:00","2673.180000","W"
"10/5/2016","01:26:03","2650.770000","W"
"10/5/2016","01:26:06","2645.310000","W"
"10/5/2016","01:26:09","2642.710000","W"
"10/5/2016","01:26:12","2650.460000","W"
"10/5/2016","01:26:15","2655.640000","W"
"10/5/2016","01:26:18","2654.920000","W"
"10/5/2016","01:26:21","2652.750000","W"
"10/5/2016","01:26:24","2650.850000","W"
"10/5/2016","01:26:27","2653.100000","W"
"10/5/2016","01:26:30","2652.850000","W"
"10/5/2016","01:26:33","2647.970000","W"
"10/5/2016","01:26:36","2897.090000","W"
"10/5/2016","01:26:39","3327.640000","W"
"10/5/2016","01:26:42","3039.320000","W"
"10/5/2016","01:26:45","3681.210000","W"
"10/5/2016","01:26:48","4676.450000","W"
"10/5/2016","01:26:51","4718.110000","W"
"10/5/2016","01:26:54","4818.040000","W"
"10/5/2016","01:26:57","4869.910000","W"
"10/5/2016","01:27:00","4390.700000","W"
"10/5/2016","01:27:03","4242.120000","W"
"10/5/2016","01:27:06","3453.580000","W"
"10/5/2016","01:27:09","3426.230000","W"
"10/5/2016","01:27:12","3421.550000","W"
"10/5/2016","01:27:15","3653.310000","W"
"10/5/2016","01:27:18","3690.720000","W"
"10/5/2016","01:27:21","3670.180000","W"
"10/5/2016","01:27:24","3600.080000","W"
"10/5/2016","01:27:27","3461.970000","W"
"10/5/2016","01:27:30","3234.710000","W"
"10/5/2016","01:27:33","3256.960000","W"
"10/5/2016","01:27:36","3454.730000","W"
"10/5/2016","01:27:39","4039.340000","W"
"10/5/2016","01:27:42","4206.100000","W"
"10/5/2016","01:27:45","3708.360000","W"
"10/5/2016","01:27:48","3619.320000","W"
"10/5/2016","01:27:51","3249.470000","W"
"10/5/2016","01:27:54","3037.550000","W"
"10/5/2016","01:27:57","3016.690000","W"
"10/5/2016","01:28:00","3088.270000","W"
