"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/5/2016","19:55:00","2639.350000","W"
"10/5/2016","19:55:03","2638.240000","W"
"10/5/2016","19:55:06","2640.430000","W"
"10/5/2016","19:55:09","2643.490000","W"
"10/5/2016","19:55:12","2642.880000","W"
"10/5/2016","19:55:15","2647.670000","W"
"10/5/2016","19:55:18","2649.540000","W"
"10/5/2016","19:55:21","2654.630000","W"
"10/5/2016","19:55:24","2656.660000","W"
"10/5/2016","19:55:27","2645.740000","W"
"10/5/2016","19:55:30","2650.150000","W"
"10/5/2016","19:55:33","2660.060000","W"
"10/5/2016","19:55:36","2638.890000","W"
"10/5/2016","19:55:39","2670.550000","W"
"10/5/2016","19:55:42","2643.970000","W"
"10/5/2016","19:55:45","2645.030000","W"
"10/5/2016","19:55:48","2643.740000","W"
"10/5/2016","19:55:51","2656.720000","W"
"10/5/2016","19:55:54","2650.230000","W"
"10/5/2016","19:55:57","2965.030000","W"
"10/5/2016","19:56:00","2670.880000","W"
"10/5/2016","19:56:03","2659.930000","W"
"10/5/2016","19:56:06","2755.900000","W"
"10/5/2016","19:56:09","2658.100000","W"
"10/5/2016","19:56:12","2644.780000","W"
"10/5/2016","19:56:15","2642.060000","W"
"10/5/2016","19:56:18","2653.850000","W"
"10/5/2016","19:56:21","2651.920000","W"
"10/5/2016","19:56:24","2655.080000","W"
"10/5/2016","19:56:27","2647.930000","W"
"10/5/2016","19:56:30","2650.720000","W"
"10/5/2016","19:56:33","2649.800000","W"
"10/5/2016","19:56:36","2643.480000","W"
"10/5/2016","19:56:39","2646.500000","W"
"10/5/2016","19:56:42","2656.660000","W"
"10/5/2016","19:56:45","2651.370000","W"
"10/5/2016","19:56:48","2649.950000","W"
"10/5/2016","19:56:51","2653.830000","W"
"10/5/2016","19:56:54","2657.600000","W"
"10/5/2016","19:56:57","2652.450000","W"
"10/5/2016","19:57:00","2651.440000","W"
"10/5/2016","19:57:03","2642.030000","W"
"10/5/2016","19:57:06","2645.720000","W"
"10/5/2016","19:57:09","2644.450000","W"
"10/5/2016","19:57:12","2649.190000","W"
"10/5/2016","19:57:15","2693.370000","W"
"10/5/2016","19:57:18","2641.770000","W"
"10/5/2016","19:57:21","2646.870000","W"
"10/5/2016","19:57:24","2652.590000","W"
"10/5/2016","19:57:27","2655.870000","W"
"10/5/2016","19:57:30","2650.050000","W"
"10/5/2016","19:57:33","2648.720000","W"
"10/5/2016","19:57:36","2641.030000","W"
"10/5/2016","19:57:39","2647.040000","W"
"10/5/2016","19:57:42","2649.040000","W"
"10/5/2016","19:57:45","2649.630000","W"
"10/5/2016","19:57:48","2653.130000","W"
"10/5/2016","19:57:51","2643.610000","W"
"10/5/2016","19:57:54","2643.290000","W"
"10/5/2016","19:57:57","2799.150000","W"
"10/5/2016","19:58:00","3473.790000","W"
"10/5/2016","19:58:03","3236.020000","W"
"10/5/2016","19:58:06","3053.680000","W"
"10/5/2016","19:58:09","3857.950000","W"
"10/5/2016","19:58:12","4655.360000","W"
"10/5/2016","19:58:15","4703.020000","W"
"10/5/2016","19:58:18","4644.410000","W"
"10/5/2016","19:58:21","4501.040000","W"
"10/5/2016","19:58:24","4218.910000","W"
"10/5/2016","19:58:27","4002.410000","W"
"10/5/2016","19:58:30","3471.590000","W"
"10/5/2016","19:58:33","3475.100000","W"
"10/5/2016","19:58:36","3512.100000","W"
"10/5/2016","19:58:39","3582.230000","W"
"10/5/2016","19:58:42","3673.410000","W"
"10/5/2016","19:58:45","3683.930000","W"
"10/5/2016","19:58:48","3612.900000","W"
"10/5/2016","19:58:51","3615.870000","W"
"10/5/2016","19:58:54","3635.170000","W"
"10/5/2016","19:58:57","3527.990000","W"
"10/5/2016","19:59:00","3655.250000","W"
"10/5/2016","19:59:03","4037.120000","W"
"10/5/2016","19:59:06","3976.020000","W"
"10/5/2016","19:59:09","3663.360000","W"
"10/5/2016","19:59:12","3737.150000","W"
"10/5/2016","19:59:15","3277.090000","W"
"10/5/2016","19:59:18","2930.270000","W"
"10/5/2016","19:59:21","2927.520000","W"
"10/5/2016","19:59:24","2987.700000","W"
"10/5/2016","19:59:27","3021.870000","W"
"10/5/2016","19:59:30","2993.550000","W"
"10/5/2016","19:59:33","2741.310000","W"
"10/5/2016","19:59:36","2943.820000","W"
"10/5/2016","19:59:39","2684.350000","W"
"10/5/2016","19:59:42","2742.920000","W"
"10/5/2016","19:59:45","2688.030000","W"
"10/5/2016","19:59:48","2704.580000","W"
"10/5/2016","19:59:51","2701.070000","W"
"10/5/2016","19:59:54","2678.400000","W"
"10/5/2016","19:59:57","2737.490000","W"
"10/5/2016","20:00:00","2859.730000","W"
"10/5/2016","20:00:03","3266.200000","W"
"10/5/2016","20:00:06","3397.200000","W"
"10/5/2016","20:00:09","2802.930000","W"
"10/5/2016","20:00:12","2856.640000","W"
"10/5/2016","20:00:15","2679.520000","W"
"10/5/2016","20:00:18","2697.970000","W"
"10/5/2016","20:00:21","2684.230000","W"
"10/5/2016","20:00:24","2685.090000","W"
"10/5/2016","20:00:27","2750.930000","W"
"10/5/2016","20:00:30","2672.600000","W"
"10/5/2016","20:00:33","2679.390000","W"
"10/5/2016","20:00:36","2675.430000","W"
"10/5/2016","20:00:39","2679.020000","W"
"10/5/2016","20:00:42","2668.390000","W"
"10/5/2016","20:00:45","2669.500000","W"
"10/5/2016","20:00:48","2673.540000","W"
"10/5/2016","20:00:51","2664.460000","W"
"10/5/2016","20:00:54","2750.610000","W"
"10/5/2016","20:00:57","2771.060000","W"
"10/5/2016","20:01:00","2769.390000","W"
"10/5/2016","20:01:03","2771.030000","W"
"10/5/2016","20:01:06","2770.850000","W"
"10/5/2016","20:01:09","2764.480000","W"
"10/5/2016","20:01:12","2752.710000","W"
"10/5/2016","20:01:15","2735.460000","W"
"10/5/2016","20:01:18","2725.930000","W"
"10/5/2016","20:01:21","2733.870000","W"
"10/5/2016","20:01:24","2732.170000","W"
"10/5/2016","20:01:27","2735.160000","W"
"10/5/2016","20:01:30","2723.050000","W"
