"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/5/2016","10:20:21","2656.580000","W"
"10/5/2016","10:20:24","2651.540000","W"
"10/5/2016","10:20:27","2642.380000","W"
"10/5/2016","10:20:30","2643.220000","W"
"10/5/2016","10:20:33","2647.590000","W"
"10/5/2016","10:20:36","2641.530000","W"
"10/5/2016","10:20:39","2638.700000","W"
"10/5/2016","10:20:42","2642.510000","W"
"10/5/2016","10:20:45","2645.090000","W"
"10/5/2016","10:20:48","2638.620000","W"
"10/5/2016","10:20:51","2643.210000","W"
"10/5/2016","10:20:54","2639.530000","W"
"10/5/2016","10:20:57","2638.460000","W"
"10/5/2016","10:21:00","2633.440000","W"
"10/5/2016","10:21:03","2635.660000","W"
"10/5/2016","10:21:06","2636.630000","W"
"10/5/2016","10:21:09","2636.890000","W"
"10/5/2016","10:21:12","2635.690000","W"
"10/5/2016","10:21:15","2644.240000","W"
"10/5/2016","10:21:18","2649.810000","W"
"10/5/2016","10:21:21","2641.250000","W"
"10/5/2016","10:21:24","2642.440000","W"
"10/5/2016","10:21:27","2637.810000","W"
"10/5/2016","10:21:30","2645.390000","W"
"10/5/2016","10:21:33","2639.070000","W"
"10/5/2016","10:21:36","2651.120000","W"
"10/5/2016","10:21:39","2642.130000","W"
"10/5/2016","10:21:42","2640.420000","W"
"10/5/2016","10:21:45","2668.990000","W"
"10/5/2016","10:21:48","2634.940000","W"
"10/5/2016","10:21:51","2636.340000","W"
"10/5/2016","10:21:54","2646.990000","W"
"10/5/2016","10:21:57","2648.920000","W"
"10/5/2016","10:22:00","2658.280000","W"
"10/5/2016","10:22:03","2640.970000","W"
"10/5/2016","10:22:06","2649.380000","W"
"10/5/2016","10:22:09","2644.790000","W"
"10/5/2016","10:22:12","2644.800000","W"
"10/5/2016","10:22:15","2642.820000","W"
"10/5/2016","10:22:18","2638.180000","W"
"10/5/2016","10:22:21","2638.660000","W"
"10/5/2016","10:22:24","2645.070000","W"
"10/5/2016","10:22:27","2642.340000","W"
"10/5/2016","10:22:30","2641.140000","W"
"10/5/2016","10:22:33","2636.700000","W"
"10/5/2016","10:22:36","2640.260000","W"
"10/5/2016","10:22:39","2645.020000","W"
"10/5/2016","10:22:42","2637.140000","W"
"10/5/2016","10:22:45","2644.410000","W"
"10/5/2016","10:22:48","2636.430000","W"
"10/5/2016","10:22:51","2644.340000","W"
"10/5/2016","10:22:54","2642.220000","W"
"10/5/2016","10:22:57","2641.180000","W"
"10/5/2016","10:23:00","2635.920000","W"
"10/5/2016","10:23:03","2641.740000","W"
"10/5/2016","10:23:06","2635.420000","W"
"10/5/2016","10:23:09","2633.910000","W"
"10/5/2016","10:23:12","2633.440000","W"
"10/5/2016","10:23:15","2638.070000","W"
"10/5/2016","10:23:18","2632.280000","W"
"10/5/2016","10:23:21","2636.470000","W"
"10/5/2016","10:23:24","2641.310000","W"
"10/5/2016","10:23:27","2650.580000","W"
"10/5/2016","10:23:30","2649.170000","W"
"10/5/2016","10:23:33","2650.430000","W"
"10/5/2016","10:23:36","2647.560000","W"
"10/5/2016","10:23:39","2655.140000","W"
"10/5/2016","10:23:42","2641.770000","W"
"10/5/2016","10:23:45","2642.880000","W"
"10/5/2016","10:23:48","2642.020000","W"
"10/5/2016","10:23:51","2638.520000","W"
"10/5/2016","10:23:54","2637.370000","W"
"10/5/2016","10:23:57","2652.540000","W"
"10/5/2016","10:24:00","2700.500000","W"
"10/5/2016","10:24:03","2846.230000","W"
"10/5/2016","10:24:06","2875.200000","W"
"10/5/2016","10:24:09","2642.300000","W"
"10/5/2016","10:24:12","2644.860000","W"
"10/5/2016","10:24:15","2644.050000","W"
"10/5/2016","10:24:18","2656.980000","W"
