"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/17/2016","1:40:51 PM","2741.990000","W"
"9/17/2016","1:40:52 PM","2717.700000","W"
"9/17/2016","1:40:53 PM","2717.700000","W"
"9/17/2016","1:40:54 PM","2687.750000","W"
"9/17/2016","1:40:55 PM","2696.490000","W"
"9/17/2016","1:40:56 PM","2696.490000","W"
"9/17/2016","1:40:57 PM","2750.910000","W"
"9/17/2016","1:40:58 PM","2737.690000","W"
"9/17/2016","1:40:59 PM","2753.120000","W"
"9/17/2016","1:41:00 PM","2753.120000","W"
"9/17/2016","1:41:01 PM","2695.110000","W"
"9/17/2016","1:41:02 PM","2699.470000","W"
"9/17/2016","1:41:03 PM","2699.470000","W"
"9/17/2016","1:41:04 PM","2695.170000","W"
"9/17/2016","1:41:05 PM","2710.040000","W"
"9/17/2016","1:41:06 PM","2727.290000","W"
"9/17/2016","1:41:07 PM","2716.510000","W"
"9/17/2016","1:41:08 PM","2716.510000","W"
"9/17/2016","1:41:09 PM","2693.670000","W"
"9/17/2016","1:41:10 PM","2692.900000","W"
"9/17/2016","1:41:11 PM","2692.900000","W"
"9/17/2016","1:41:12 PM","2691.210000","W"
"9/17/2016","1:41:13 PM","2691.470000","W"
"9/17/2016","1:41:14 PM","2691.470000","W"
"9/17/2016","1:41:15 PM","2689.220000","W"
"9/17/2016","1:41:16 PM","2737.750000","W"
"9/17/2016","1:41:17 PM","2737.750000","W"
"9/17/2016","1:41:18 PM","2817.080000","W"
"9/17/2016","1:41:19 PM","2696.400000","W"
"9/17/2016","1:41:20 PM","2696.400000","W"
"9/17/2016","1:41:21 PM","2691.280000","W"
"9/17/2016","1:41:22 PM","2733.410000","W"
"9/17/2016","1:41:23 PM","2739.830000","W"
"9/17/2016","1:41:24 PM","2739.830000","W"
"9/17/2016","1:41:25 PM","2711.610000","W"
"9/17/2016","1:41:26 PM","2691.170000","W"
"9/17/2016","1:41:27 PM","2691.170000","W"
"9/17/2016","1:41:28 PM","2700.970000","W"
"9/17/2016","1:41:29 PM","2706.660000","W"
"9/17/2016","1:41:30 PM","2706.660000","W"
"9/17/2016","1:41:31 PM","2712.740000","W"
"9/17/2016","1:41:32 PM","2695.010000","W"
"9/17/2016","1:41:33 PM","2695.010000","W"
"9/17/2016","1:41:34 PM","2693.630000","W"
"9/17/2016","1:41:35 PM","2694.040000","W"
"9/17/2016","1:41:36 PM","2694.040000","W"
"9/17/2016","1:41:37 PM","2710.610000","W"
"9/17/2016","1:41:38 PM","2701.280000","W"
"9/17/2016","1:41:39 PM","2701.280000","W"
"9/17/2016","1:41:40 PM","2705.390000","W"
"9/17/2016","1:41:41 PM","2691.330000","W"
"9/17/2016","1:41:42 PM","2691.330000","W"
"9/17/2016","1:41:43 PM","2690.460000","W"
"9/17/2016","1:41:44 PM","2703.950000","W"
"9/17/2016","1:41:45 PM","2695.320000","W"
"9/17/2016","1:41:46 PM","2695.320000","W"
"9/17/2016","1:41:47 PM","2720.720000","W"
"9/17/2016","1:41:48 PM","2709.860000","W"
"9/17/2016","1:41:49 PM","2709.860000","W"
"9/17/2016","1:41:50 PM","2699.080000","W"
"9/17/2016","1:41:51 PM","2712.000000","W"
"9/17/2016","1:41:52 PM","2712.000000","W"
"9/17/2016","1:41:53 PM","2720.480000","W"
"9/17/2016","1:41:54 PM","2709.550000","W"
"9/17/2016","1:41:55 PM","2709.550000","W"
"9/17/2016","1:41:56 PM","2715.300000","W"
"9/17/2016","1:41:57 PM","2716.100000","W"
"9/17/2016","1:41:58 PM","2716.100000","W"
"9/17/2016","1:41:59 PM","3070.240000","W"
"9/17/2016","1:42:00 PM","2715.480000","W"
"9/17/2016","1:42:01 PM","2715.480000","W"
"9/17/2016","1:42:02 PM","2693.020000","W"
"9/17/2016","1:42:03 PM","2696.800000","W"
