"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/18/2016","9:38:28 AM","2669.890000","W"
"9/18/2016","9:38:29 AM","2669.890000","W"
"9/18/2016","9:38:30 AM","2660.590000","W"
"9/18/2016","9:38:31 AM","2667.040000","W"
"9/18/2016","9:38:32 AM","2667.040000","W"
"9/18/2016","9:38:33 AM","2675.180000","W"
"9/18/2016","9:38:34 AM","2666.220000","W"
"9/18/2016","9:38:35 AM","2666.220000","W"
"9/18/2016","9:38:36 AM","2666.540000","W"
"9/18/2016","9:38:37 AM","2669.200000","W"
"9/18/2016","9:38:38 AM","2669.200000","W"
"9/18/2016","9:38:39 AM","2668.290000","W"
"9/18/2016","9:38:40 AM","2668.370000","W"
"9/18/2016","9:38:41 AM","2668.370000","W"
"9/18/2016","9:38:42 AM","2665.070000","W"
"9/18/2016","9:38:43 AM","2676.020000","W"
"9/18/2016","9:38:44 AM","2676.020000","W"
"9/18/2016","9:38:45 AM","2673.460000","W"
"9/18/2016","9:38:46 AM","2654.280000","W"
"9/18/2016","9:38:47 AM","2654.280000","W"
"9/18/2016","9:38:48 AM","2649.870000","W"
"9/18/2016","9:38:49 AM","2653.600000","W"
"9/18/2016","9:38:50 AM","2657.800000","W"
"9/18/2016","9:38:51 AM","2657.800000","W"
"9/18/2016","9:38:52 AM","2658.600000","W"
"9/18/2016","9:38:53 AM","2652.680000","W"
"9/18/2016","9:38:54 AM","2652.680000","W"
"9/18/2016","9:38:55 AM","2663.880000","W"
"9/18/2016","9:38:56 AM","2657.240000","W"
"9/18/2016","9:38:57 AM","2657.240000","W"
"9/18/2016","9:38:58 AM","2660.610000","W"
"9/18/2016","9:38:59 AM","2663.140000","W"
"9/18/2016","9:39:00 AM","2663.140000","W"
"9/18/2016","9:39:01 AM","2709.490000","W"
"9/18/2016","9:39:02 AM","2660.700000","W"
"9/18/2016","9:39:03 AM","2660.700000","W"
"9/18/2016","9:39:04 AM","2658.290000","W"
"9/18/2016","9:39:05 AM","2657.160000","W"
"9/18/2016","9:39:06 AM","2657.160000","W"
"9/18/2016","9:39:07 AM","2666.950000","W"
"9/18/2016","9:39:08 AM","2661.390000","W"
"9/18/2016","9:39:09 AM","2661.390000","W"
"9/18/2016","9:39:10 AM","2676.740000","W"
"9/18/2016","9:39:11 AM","2651.900000","W"
"9/18/2016","9:39:12 AM","2660.020000","W"
"9/18/2016","9:39:13 AM","2660.020000","W"
"9/18/2016","9:39:14 AM","2650.970000","W"
"9/18/2016","9:39:15 AM","2656.220000","W"
"9/18/2016","9:39:16 AM","2656.220000","W"
"9/18/2016","9:39:17 AM","2652.720000","W"
"9/18/2016","9:39:18 AM","2654.260000","W"
"9/18/2016","9:39:19 AM","2654.260000","W"
"9/18/2016","9:39:20 AM","2652.640000","W"
"9/18/2016","9:39:21 AM","2652.640000","W"
"9/18/2016","9:39:22 AM","2651.220000","W"
"9/18/2016","9:39:23 AM","2651.810000","W"
"9/18/2016","9:39:24 AM","2651.810000","W"
"9/18/2016","9:39:25 AM","2658.440000","W"
"9/18/2016","9:39:26 AM","2663.260000","W"
"9/18/2016","9:39:27 AM","2663.260000","W"
"9/18/2016","9:39:28 AM","2654.390000","W"
"9/18/2016","9:39:29 AM","2652.720000","W"
"9/18/2016","9:39:30 AM","2658.290000","W"
"9/18/2016","9:39:31 AM","2658.290000","W"
"9/18/2016","9:39:32 AM","2657.470000","W"
"9/18/2016","9:39:33 AM","2655.050000","W"
"9/18/2016","9:39:34 AM","2655.050000","W"
"9/18/2016","9:39:35 AM","2656.280000","W"
"9/18/2016","9:39:36 AM","2656.570000","W"
"9/18/2016","9:39:37 AM","2656.570000","W"
"9/18/2016","9:39:38 AM","2658.010000","W"
"9/18/2016","9:39:39 AM","2657.030000","W"
"9/18/2016","9:39:40 AM","2657.030000","W"
"9/18/2016","9:39:41 AM","2659.770000","W"
"9/18/2016","9:39:42 AM","2659.930000","W"
"9/18/2016","9:39:43 AM","2655.480000","W"
"9/18/2016","9:39:44 AM","2655.480000","W"
"9/18/2016","9:39:45 AM","2657.720000","W"
"9/18/2016","9:39:46 AM","2652.920000","W"
"9/18/2016","9:39:47 AM","2652.920000","W"
"9/18/2016","9:39:48 AM","2657.830000","W"
"9/18/2016","9:39:49 AM","2653.120000","W"
"9/18/2016","9:39:50 AM","2653.120000","W"
"9/18/2016","9:39:51 AM","2652.330000","W"
"9/18/2016","9:39:52 AM","2661.290000","W"
"9/18/2016","9:39:53 AM","2661.290000","W"
"9/18/2016","9:39:54 AM","2650.090000","W"
"9/18/2016","9:39:55 AM","2655.890000","W"
"9/18/2016","9:39:56 AM","2655.890000","W"
"9/18/2016","9:39:57 AM","2660.570000","W"
"9/18/2016","9:39:58 AM","2661.010000","W"
"9/18/2016","9:39:59 AM","2661.010000","W"
"9/18/2016","9:40:00 AM","2667.640000","W"
