"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/17/2016","9:03:03 PM","2692.830000","W"
"9/17/2016","9:03:04 PM","2695.650000","W"
"9/17/2016","9:03:05 PM","2695.650000","W"
"9/17/2016","9:03:06 PM","2734.490000","W"
"9/17/2016","9:03:07 PM","2695.120000","W"
"9/17/2016","9:03:08 PM","2695.120000","W"
"9/17/2016","9:03:09 PM","2697.050000","W"
"9/17/2016","9:03:10 PM","2701.870000","W"
"9/17/2016","9:03:11 PM","2701.870000","W"
"9/17/2016","9:03:12 PM","2702.240000","W"
"9/17/2016","9:03:13 PM","2699.030000","W"
"9/17/2016","9:03:14 PM","2699.030000","W"
"9/17/2016","9:03:15 PM","2686.770000","W"
"9/17/2016","9:03:16 PM","2696.590000","W"
"9/17/2016","9:03:17 PM","2696.590000","W"
"9/17/2016","9:03:18 PM","2695.440000","W"
"9/17/2016","9:03:19 PM","2699.310000","W"
"9/17/2016","9:03:20 PM","2699.310000","W"
"9/17/2016","9:03:21 PM","2691.520000","W"
"9/17/2016","9:03:22 PM","2693.330000","W"
"9/17/2016","9:03:23 PM","2693.330000","W"
"9/17/2016","9:03:24 PM","2706.350000","W"
"9/17/2016","9:03:25 PM","2694.880000","W"
"9/17/2016","9:03:26 PM","2694.880000","W"
"9/17/2016","9:03:27 PM","2690.600000","W"
"9/17/2016","9:03:28 PM","2693.250000","W"
"9/17/2016","9:03:29 PM","2681.360000","W"
"9/17/2016","9:03:30 PM","2681.360000","W"
"9/17/2016","9:03:31 PM","2694.820000","W"
"9/17/2016","9:03:32 PM","2691.350000","W"
"9/17/2016","9:03:33 PM","2691.350000","W"
"9/17/2016","9:03:34 PM","2694.990000","W"
"9/17/2016","9:03:35 PM","2689.700000","W"
"9/17/2016","9:03:36 PM","2689.700000","W"
"9/17/2016","9:03:37 PM","2691.650000","W"
"9/17/2016","9:03:38 PM","2690.450000","W"
"9/17/2016","9:03:39 PM","2690.450000","W"
"9/17/2016","9:03:40 PM","2701.600000","W"
"9/17/2016","9:03:41 PM","2692.020000","W"
"9/17/2016","9:03:42 PM","2692.020000","W"
"9/17/2016","9:03:43 PM","2693.590000","W"
"9/17/2016","9:03:44 PM","2692.680000","W"
"9/17/2016","9:03:45 PM","2692.680000","W"
"9/17/2016","9:03:46 PM","2688.080000","W"
"9/17/2016","9:03:47 PM","2686.940000","W"
"9/17/2016","9:03:48 PM","2686.940000","W"
"9/17/2016","9:03:49 PM","2690.050000","W"
"9/17/2016","9:03:50 PM","2697.470000","W"
"9/17/2016","9:03:51 PM","2697.470000","W"
"9/17/2016","9:03:52 PM","2684.220000","W"
"9/17/2016","9:03:53 PM","2692.670000","W"
"9/17/2016","9:03:54 PM","2692.670000","W"
"9/17/2016","9:03:55 PM","2686.370000","W"
"9/17/2016","9:03:56 PM","2699.480000","W"
"9/17/2016","9:03:57 PM","2699.480000","W"
"9/17/2016","9:03:58 PM","2687.490000","W"
"9/17/2016","9:03:59 PM","2706.920000","W"
"9/17/2016","9:04:00 PM","2708.920000","W"
"9/17/2016","9:04:01 PM","2708.920000","W"
"9/17/2016","9:04:02 PM","2696.330000","W"
"9/17/2016","9:04:03 PM","2687.090000","W"
"9/17/2016","9:04:04 PM","2687.090000","W"
"9/17/2016","9:04:05 PM","2701.350000","W"
"9/17/2016","9:04:06 PM","2714.690000","W"
"9/17/2016","9:04:07 PM","2714.690000","W"
"9/17/2016","9:04:08 PM","2689.940000","W"
"9/17/2016","9:04:09 PM","2686.770000","W"
"9/17/2016","9:04:10 PM","2686.770000","W"
"9/17/2016","9:04:11 PM","2690.910000","W"
"9/17/2016","9:04:12 PM","2697.310000","W"
"9/17/2016","9:04:13 PM","2697.310000","W"
"9/17/2016","9:04:14 PM","3691.500000","W"
"9/17/2016","9:04:15 PM","3573.760000","W"
"9/17/2016","9:04:16 PM","3573.760000","W"
"9/17/2016","9:04:17 PM","3516.090000","W"
"9/17/2016","9:04:18 PM","3350.510000","W"
"9/17/2016","9:04:19 PM","3350.510000","W"
"9/17/2016","9:04:20 PM","4322.790000","W"
"9/17/2016","9:04:21 PM","5762.180000","W"
"9/17/2016","9:04:22 PM","5762.180000","W"
"9/17/2016","9:04:23 PM","5263.790000","W"
"9/17/2016","9:04:24 PM","4721.050000","W"
"9/17/2016","9:04:25 PM","5032.270000","W"
"9/17/2016","9:04:26 PM","5032.270000","W"
"9/17/2016","9:04:27 PM","5842.900000","W"
"9/17/2016","9:04:28 PM","6120.970000","W"
"9/17/2016","9:04:29 PM","6120.970000","W"
"9/17/2016","9:04:30 PM","5171.590000","W"
"9/17/2016","9:04:31 PM","4975.600000","W"
"9/17/2016","9:04:32 PM","4975.600000","W"
"9/17/2016","9:04:33 PM","4481.400000","W"
"9/17/2016","9:04:34 PM","4631.760000","W"
"9/17/2016","9:04:35 PM","4631.760000","W"
"9/17/2016","9:04:36 PM","4747.980000","W"
"9/17/2016","9:04:37 PM","4869.810000","W"
"9/17/2016","9:04:38 PM","4869.810000","W"
"9/17/2016","9:04:39 PM","5359.540000","W"
"9/17/2016","9:04:40 PM","4360.840000","W"
"9/17/2016","9:04:41 PM","4360.840000","W"
"9/17/2016","9:04:42 PM","4176.670000","W"
"9/17/2016","9:04:43 PM","4351.070000","W"
"9/17/2016","9:04:44 PM","3801.390000","W"
"9/17/2016","9:04:45 PM","3801.390000","W"
"9/17/2016","9:04:46 PM","4421.350000","W"
"9/17/2016","9:04:47 PM","4494.670000","W"
"9/17/2016","9:04:48 PM","4494.670000","W"
"9/17/2016","9:04:49 PM","4872.540000","W"
"9/17/2016","9:04:50 PM","4661.360000","W"
"9/17/2016","9:04:51 PM","4661.360000","W"
"9/17/2016","9:04:52 PM","5363.150000","W"
"9/17/2016","9:04:53 PM","4656.560000","W"
"9/17/2016","9:04:54 PM","4656.560000","W"
"9/17/2016","9:04:55 PM","4187.780000","W"
"9/17/2016","9:04:56 PM","4205.670000","W"
"9/17/2016","9:04:57 PM","4205.670000","W"
"9/17/2016","9:04:58 PM","4651.200000","W"
"9/17/2016","9:04:59 PM","3924.370000","W"
"9/17/2016","9:05:00 PM","3924.370000","W"
"9/17/2016","9:05:01 PM","4622.930000","W"
"9/17/2016","9:05:02 PM","4160.580000","W"
"9/17/2016","9:05:03 PM","4160.580000","W"
"9/17/2016","9:05:04 PM","4392.890000","W"
"9/17/2016","9:05:05 PM","4457.040000","W"
"9/17/2016","9:05:06 PM","4457.040000","W"
"9/17/2016","9:05:07 PM","4316.970000","W"
"9/17/2016","9:05:08 PM","3990.990000","W"
"9/17/2016","9:05:09 PM","4093.730000","W"
"9/17/2016","9:05:10 PM","4093.730000","W"
"9/17/2016","9:05:11 PM","4513.660000","W"
"9/17/2016","9:05:12 PM","3877.380000","W"
"9/17/2016","9:05:13 PM","3877.380000","W"
"9/17/2016","9:05:14 PM","3992.640000","W"
"9/17/2016","9:05:15 PM","3793.770000","W"
"9/17/2016","9:05:16 PM","3793.770000","W"
"9/17/2016","9:05:17 PM","4595.860000","W"
"9/17/2016","9:05:18 PM","4376.300000","W"
"9/17/2016","9:05:19 PM","4376.300000","W"
"9/17/2016","9:05:20 PM","4026.290000","W"
"9/17/2016","9:05:21 PM","3957.910000","W"
"9/17/2016","9:05:22 PM","3957.910000","W"
"9/17/2016","9:05:23 PM","4058.900000","W"
"9/17/2016","9:05:24 PM","3390.590000","W"
"9/17/2016","9:05:25 PM","3390.590000","W"
"9/17/2016","9:05:26 PM","3485.310000","W"
"9/17/2016","9:05:27 PM","3619.450000","W"
"9/17/2016","9:05:28 PM","3619.450000","W"
"9/17/2016","9:05:29 PM","3864.060000","W"
"9/17/2016","9:05:30 PM","3914.410000","W"
"9/17/2016","9:05:31 PM","4786.840000","W"
"9/17/2016","9:05:32 PM","4786.840000","W"
"9/17/2016","9:05:33 PM","5134.530000","W"
"9/17/2016","9:05:34 PM","4490.770000","W"
"9/17/2016","9:05:35 PM","4490.770000","W"
"9/17/2016","9:05:36 PM","4754.590000","W"
"9/17/2016","9:05:37 PM","5426.140000","W"
"9/17/2016","9:05:38 PM","5426.140000","W"
"9/17/2016","9:05:39 PM","5121.250000","W"
"9/17/2016","9:05:40 PM","5177.170000","W"
"9/17/2016","9:05:41 PM","5177.170000","W"
"9/17/2016","9:05:42 PM","4777.940000","W"
"9/17/2016","9:05:43 PM","5528.010000","W"
"9/17/2016","9:05:44 PM","5528.010000","W"
"9/17/2016","9:05:45 PM","5979.520000","W"
"9/17/2016","9:05:46 PM","5184.290000","W"
"9/17/2016","9:05:47 PM","5184.290000","W"
"9/17/2016","9:05:48 PM","4242.440000","W"
"9/17/2016","9:05:49 PM","5406.830000","W"
"9/17/2016","9:05:50 PM","5406.830000","W"
"9/17/2016","9:05:51 PM","5341.870000","W"
"9/17/2016","9:05:52 PM","4786.900000","W"
"9/17/2016","9:05:53 PM","4786.900000","W"
"9/17/2016","9:05:54 PM","4192.440000","W"
"9/17/2016","9:05:55 PM","4639.290000","W"
"9/17/2016","9:05:56 PM","4506.350000","W"
"9/17/2016","9:05:57 PM","4506.350000","W"
"9/17/2016","9:05:58 PM","3907.090000","W"
"9/17/2016","9:05:59 PM","4204.390000","W"
"9/17/2016","9:06:00 PM","4204.390000","W"
"9/17/2016","9:06:01 PM","3736.890000","W"
"9/17/2016","9:06:02 PM","3915.730000","W"
"9/17/2016","9:06:03 PM","3915.730000","W"
"9/17/2016","9:06:04 PM","3487.580000","W"
"9/17/2016","9:06:05 PM","3137.470000","W"
"9/17/2016","9:06:06 PM","3137.470000","W"
"9/17/2016","9:06:07 PM","3422.680000","W"
"9/17/2016","9:06:08 PM","3817.790000","W"
"9/17/2016","9:06:09 PM","3817.790000","W"
"9/17/2016","9:06:10 PM","3265.760000","W"
"9/17/2016","9:06:11 PM","3467.830000","W"
"9/17/2016","9:06:12 PM","3467.830000","W"
"9/17/2016","9:06:13 PM","3548.090000","W"
"9/17/2016","9:06:14 PM","3362.350000","W"
"9/17/2016","9:06:15 PM","3362.350000","W"
"9/17/2016","9:06:16 PM","3164.240000","W"
"9/17/2016","9:06:17 PM","3058.290000","W"
"9/17/2016","9:06:18 PM","3058.290000","W"
"9/17/2016","9:06:19 PM","3004.600000","W"
"9/17/2016","9:06:20 PM","3048.650000","W"
"9/17/2016","9:06:21 PM","3048.650000","W"
"9/17/2016","9:06:22 PM","2821.260000","W"
"9/17/2016","9:06:23 PM","2759.010000","W"
"9/17/2016","9:06:24 PM","2759.010000","W"
"9/17/2016","9:06:25 PM","2748.430000","W"
"9/17/2016","9:06:26 PM","2755.340000","W"
"9/17/2016","9:06:27 PM","2755.340000","W"
"9/17/2016","9:06:28 PM","2743.730000","W"
"9/17/2016","9:06:29 PM","2749.890000","W"
"9/17/2016","9:06:30 PM","2749.890000","W"
"9/17/2016","9:06:31 PM","2753.340000","W"
"9/17/2016","9:06:32 PM","2750.040000","W"
"9/17/2016","9:06:33 PM","2754.950000","W"
"9/17/2016","9:06:34 PM","2754.950000","W"
"9/17/2016","9:06:35 PM","2752.040000","W"
