"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/18/2016","9:52:44 AM","2655.120000","W"
"9/18/2016","9:52:45 AM","2655.120000","W"
"9/18/2016","9:52:46 AM","2663.920000","W"
"9/18/2016","9:52:47 AM","2659.810000","W"
"9/18/2016","9:52:48 AM","2659.810000","W"
"9/18/2016","9:52:49 AM","2656.440000","W"
"9/18/2016","9:52:50 AM","2671.320000","W"
"9/18/2016","9:52:51 AM","2671.320000","W"
"9/18/2016","9:52:52 AM","2654.750000","W"
"9/18/2016","9:52:53 AM","2656.150000","W"
"9/18/2016","9:52:54 AM","2656.150000","W"
"9/18/2016","9:52:55 AM","2650.220000","W"
"9/18/2016","9:52:56 AM","2652.300000","W"
"9/18/2016","9:52:57 AM","2652.300000","W"
"9/18/2016","9:52:58 AM","2672.720000","W"
"9/18/2016","9:52:59 AM","2667.050000","W"
"9/18/2016","9:53:00 AM","2660.480000","W"
"9/18/2016","9:53:01 AM","2660.480000","W"
"9/18/2016","9:53:02 AM","2657.670000","W"
"9/18/2016","9:53:03 AM","2657.670000","W"
"9/18/2016","9:53:04 AM","2656.130000","W"
"9/18/2016","9:53:05 AM","2660.770000","W"
"9/18/2016","9:53:06 AM","2653.490000","W"
"9/18/2016","9:53:07 AM","2653.490000","W"
"9/18/2016","9:53:08 AM","2660.700000","W"
"9/18/2016","9:53:09 AM","2677.430000","W"
"9/18/2016","9:53:10 AM","2677.430000","W"
"9/18/2016","9:53:11 AM","2656.180000","W"
"9/18/2016","9:53:12 AM","2656.140000","W"
"9/18/2016","9:53:13 AM","2656.140000","W"
"9/18/2016","9:53:14 AM","2650.640000","W"
"9/18/2016","9:53:15 AM","2654.930000","W"
"9/18/2016","9:53:16 AM","2654.930000","W"
"9/18/2016","9:53:17 AM","2653.920000","W"
"9/18/2016","9:53:18 AM","2656.600000","W"
"9/18/2016","9:53:19 AM","2656.600000","W"
"9/18/2016","9:53:20 AM","2698.340000","W"
"9/18/2016","9:53:21 AM","3114.330000","W"
"9/18/2016","9:53:22 AM","3114.330000","W"
"9/18/2016","9:53:23 AM","3074.500000","W"
"9/18/2016","9:53:24 AM","3063.070000","W"
"9/18/2016","9:53:25 AM","3063.070000","W"
"9/18/2016","9:53:26 AM","3055.210000","W"
"9/18/2016","9:53:27 AM","3069.250000","W"
"9/18/2016","9:53:28 AM","3069.250000","W"
"9/18/2016","9:53:29 AM","3054.000000","W"
"9/18/2016","9:53:30 AM","3024.160000","W"
"9/18/2016","9:53:31 AM","3024.160000","W"
"9/18/2016","9:53:32 AM","2949.010000","W"
"9/18/2016","9:53:33 AM","2943.690000","W"
"9/18/2016","9:53:34 AM","2943.690000","W"
"9/18/2016","9:53:35 AM","2951.920000","W"
"9/18/2016","9:53:36 AM","2935.230000","W"
"9/18/2016","9:53:37 AM","2935.230000","W"
"9/18/2016","9:53:38 AM","2937.620000","W"
"9/18/2016","9:53:39 AM","2933.830000","W"
"9/18/2016","9:53:40 AM","2933.830000","W"
"9/18/2016","9:53:41 AM","2937.240000","W"
"9/18/2016","9:53:42 AM","2940.200000","W"
"9/18/2016","9:53:43 AM","2940.200000","W"
"9/18/2016","9:53:44 AM","2940.520000","W"
"9/18/2016","9:53:45 AM","2936.850000","W"
"9/18/2016","9:53:46 AM","2936.850000","W"
"9/18/2016","9:53:47 AM","2934.650000","W"
"9/18/2016","9:53:48 AM","2931.800000","W"
"9/18/2016","9:53:49 AM","2931.800000","W"
"9/18/2016","9:53:50 AM","2933.340000","W"
"9/18/2016","9:53:51 AM","2937.990000","W"
"9/18/2016","9:53:52 AM","2939.100000","W"
"9/18/2016","9:53:53 AM","2939.100000","W"
"9/18/2016","9:53:54 AM","2932.420000","W"
"9/18/2016","9:53:55 AM","2935.940000","W"
"9/18/2016","9:53:56 AM","2935.940000","W"
"9/18/2016","9:53:57 AM","2954.190000","W"
"9/18/2016","9:53:58 AM","2940.510000","W"
"9/18/2016","9:53:59 AM","2940.510000","W"
"9/18/2016","9:54:00 AM","2939.610000","W"
"9/18/2016","9:54:01 AM","2963.210000","W"
"9/18/2016","9:54:02 AM","2963.210000","W"
"9/18/2016","9:54:03 AM","2931.460000","W"
"9/18/2016","9:54:04 AM","2937.430000","W"
"9/18/2016","9:54:05 AM","2937.430000","W"
"9/18/2016","9:54:06 AM","2934.950000","W"
"9/18/2016","9:54:07 AM","2937.270000","W"
"9/18/2016","9:54:08 AM","2937.270000","W"
"9/18/2016","9:54:09 AM","2948.820000","W"
"9/18/2016","9:54:10 AM","2941.150000","W"
"9/18/2016","9:54:11 AM","2941.150000","W"
"9/18/2016","9:54:12 AM","2933.950000","W"
"9/18/2016","9:54:13 AM","2932.630000","W"
"9/18/2016","9:54:14 AM","2938.150000","W"
"9/18/2016","9:54:15 AM","2938.150000","W"
"9/18/2016","9:54:16 AM","3126.080000","W"
"9/18/2016","9:54:17 AM","2935.350000","W"
"9/18/2016","9:54:18 AM","2935.350000","W"
"9/18/2016","9:54:19 AM","2943.660000","W"
"9/18/2016","9:54:20 AM","2934.910000","W"
"9/18/2016","9:54:21 AM","2934.910000","W"
"9/18/2016","9:54:22 AM","2936.080000","W"
"9/18/2016","9:54:23 AM","2937.510000","W"
"9/18/2016","9:54:24 AM","2937.510000","W"
"9/18/2016","9:54:25 AM","2960.360000","W"
"9/18/2016","9:54:26 AM","2957.790000","W"
"9/18/2016","9:54:27 AM","2957.790000","W"
"9/18/2016","9:54:28 AM","2945.680000","W"
"9/18/2016","9:54:29 AM","2946.620000","W"
"9/18/2016","9:54:30 AM","2946.620000","W"
"9/18/2016","9:54:31 AM","2944.100000","W"
"9/18/2016","9:54:32 AM","2947.460000","W"
"9/18/2016","9:54:33 AM","2947.460000","W"
"9/18/2016","9:54:34 AM","2948.370000","W"
"9/18/2016","9:54:35 AM","2947.480000","W"
"9/18/2016","9:54:36 AM","2947.480000","W"
"9/18/2016","9:54:37 AM","2942.420000","W"
"9/18/2016","9:54:38 AM","2947.460000","W"
"9/18/2016","9:54:39 AM","2958.530000","W"
