"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/19/2016","12:14:31 AM","3822.050000","W"
"9/19/2016","12:14:32 AM","3519.330000","W"
"9/19/2016","12:14:33 AM","3519.330000","W"
"9/19/2016","12:14:34 AM","3660.170000","W"
"9/19/2016","12:14:35 AM","3581.590000","W"
"9/19/2016","12:14:36 AM","3740.170000","W"
"9/19/2016","12:14:37 AM","3740.170000","W"
"9/19/2016","12:14:38 AM","3500.020000","W"
"9/19/2016","12:14:39 AM","3642.280000","W"
"9/19/2016","12:14:40 AM","3642.280000","W"
"9/19/2016","12:14:41 AM","3759.230000","W"
"9/19/2016","12:14:42 AM","3594.470000","W"
"9/19/2016","12:14:43 AM","3594.470000","W"
"9/19/2016","12:14:44 AM","3671.790000","W"
"9/19/2016","12:14:45 AM","3608.850000","W"
"9/19/2016","12:14:46 AM","3608.850000","W"
"9/19/2016","12:14:47 AM","3692.350000","W"
"9/19/2016","12:14:48 AM","3513.550000","W"
"9/19/2016","12:14:49 AM","3513.550000","W"
"9/19/2016","12:14:50 AM","3623.810000","W"
"9/19/2016","12:14:51 AM","3619.480000","W"
"9/19/2016","12:14:52 AM","3619.480000","W"
"9/19/2016","12:14:53 AM","3575.490000","W"
"9/19/2016","12:14:54 AM","3741.540000","W"
"9/19/2016","12:14:55 AM","3741.540000","W"
"9/19/2016","12:14:56 AM","3854.060000","W"
"9/19/2016","12:14:57 AM","3709.220000","W"
"9/19/2016","12:14:58 AM","3498.850000","W"
"9/19/2016","12:14:59 AM","3498.850000","W"
"9/19/2016","12:15:00 AM","3724.350000","W"
"9/19/2016","12:15:01 AM","3648.820000","W"
"9/19/2016","12:15:02 AM","3648.820000","W"
"9/19/2016","12:15:03 AM","3622.580000","W"
"9/19/2016","12:15:04 AM","3482.180000","W"
"9/19/2016","12:15:05 AM","3482.180000","W"
"9/19/2016","12:15:06 AM","3770.250000","W"
"9/19/2016","12:15:07 AM","3585.780000","W"
"9/19/2016","12:15:08 AM","3585.780000","W"
"9/19/2016","12:15:09 AM","3722.550000","W"
"9/19/2016","12:15:10 AM","3681.780000","W"
"9/19/2016","12:15:11 AM","3681.780000","W"
"9/19/2016","12:15:12 AM","3627.490000","W"
"9/19/2016","12:15:13 AM","3724.730000","W"
"9/19/2016","12:15:14 AM","3624.690000","W"
"9/19/2016","12:15:15 AM","3624.690000","W"
"9/19/2016","12:15:16 AM","3661.430000","W"
"9/19/2016","12:15:17 AM","3637.310000","W"
"9/19/2016","12:15:18 AM","3637.310000","W"
"9/19/2016","12:15:19 AM","3711.550000","W"
"9/19/2016","12:15:20 AM","3704.760000","W"
"9/19/2016","12:15:21 AM","3704.760000","W"
"9/19/2016","12:15:22 AM","3651.640000","W"
"9/19/2016","12:15:23 AM","3711.960000","W"
"9/19/2016","12:15:24 AM","3711.960000","W"
"9/19/2016","12:15:25 AM","3625.370000","W"
"9/19/2016","12:15:26 AM","3712.280000","W"
"9/19/2016","12:15:27 AM","3712.280000","W"
"9/19/2016","12:15:28 AM","3667.610000","W"
"9/19/2016","12:15:29 AM","3624.190000","W"
"9/19/2016","12:15:30 AM","3710.490000","W"
"9/19/2016","12:15:31 AM","3710.490000","W"
"9/19/2016","12:15:32 AM","3614.920000","W"
"9/19/2016","12:15:33 AM","3727.200000","W"
"9/19/2016","12:15:34 AM","3727.200000","W"
"9/19/2016","12:15:35 AM","3710.710000","W"
"9/19/2016","12:15:36 AM","3692.860000","W"
"9/19/2016","12:15:37 AM","3692.860000","W"
"9/19/2016","12:15:38 AM","3660.850000","W"
"9/19/2016","12:15:39 AM","3713.980000","W"
"9/19/2016","12:15:40 AM","3713.980000","W"
"9/19/2016","12:15:41 AM","3676.530000","W"
"9/19/2016","12:15:42 AM","3638.160000","W"
"9/19/2016","12:15:43 AM","3636.170000","W"
"9/19/2016","12:15:44 AM","3636.170000","W"
"9/19/2016","12:15:45 AM","3551.840000","W"
"9/19/2016","12:15:46 AM","3765.350000","W"
"9/19/2016","12:15:47 AM","3765.350000","W"
"9/19/2016","12:15:48 AM","3593.760000","W"
"9/19/2016","12:15:49 AM","3687.570000","W"
"9/19/2016","12:15:50 AM","3687.570000","W"
"9/19/2016","12:15:51 AM","3710.650000","W"
"9/19/2016","12:15:52 AM","3729.780000","W"
"9/19/2016","12:15:53 AM","3729.780000","W"
"9/19/2016","12:15:54 AM","3624.370000","W"
"9/19/2016","12:15:55 AM","3611.360000","W"
"9/19/2016","12:15:56 AM","3611.360000","W"
"9/19/2016","12:15:57 AM","3706.050000","W"
"9/19/2016","12:15:58 AM","3550.980000","W"
"9/19/2016","12:15:59 AM","3550.980000","W"
"9/19/2016","12:16:00 AM","3785.970000","W"
"9/19/2016","12:16:01 AM","3778.610000","W"
"9/19/2016","12:16:02 AM","3717.450000","W"
"9/19/2016","12:16:03 AM","3717.450000","W"
"9/19/2016","12:16:04 AM","3688.380000","W"
"9/19/2016","12:16:05 AM","3658.760000","W"
"9/19/2016","12:16:06 AM","3658.760000","W"
"9/19/2016","12:16:38 AM","3672.070000","W"
"9/19/2016","12:16:39 AM","3719.570000","W"
"9/19/2016","12:16:40 AM","3719.570000","W"
"9/19/2016","12:16:41 AM","3694.870000","W"
"9/19/2016","12:16:42 AM","3562.880000","W"
"9/19/2016","12:16:43 AM","3681.250000","W"
"9/19/2016","12:16:44 AM","3681.250000","W"
"9/19/2016","12:16:45 AM","3713.080000","W"
"9/19/2016","12:16:46 AM","3723.640000","W"
"9/19/2016","12:16:47 AM","3723.640000","W"
"9/19/2016","12:16:48 AM","3733.960000","W"
"9/19/2016","12:16:49 AM","3598.470000","W"
"9/19/2016","12:16:50 AM","3598.470000","W"
"9/19/2016","12:16:51 AM","3725.680000","W"
"9/19/2016","12:16:52 AM","3593.590000","W"
"9/19/2016","12:16:53 AM","3593.590000","W"
"9/19/2016","12:16:54 AM","3727.390000","W"
"9/19/2016","12:16:55 AM","3648.750000","W"
"9/19/2016","12:16:56 AM","3648.750000","W"
"9/19/2016","12:16:57 AM","3707.820000","W"
"9/19/2016","12:16:58 AM","3698.240000","W"
"9/19/2016","12:16:59 AM","3677.350000","W"
"9/19/2016","12:17:00 AM","3677.350000","W"
"9/19/2016","12:17:01 AM","3784.860000","W"
"9/19/2016","12:17:02 AM","3608.440000","W"
"9/19/2016","12:17:03 AM","3608.440000","W"
"9/19/2016","12:17:04 AM","3655.040000","W"
"9/19/2016","12:17:05 AM","3695.490000","W"
"9/19/2016","12:17:06 AM","3695.490000","W"
"9/19/2016","12:17:07 AM","3679.740000","W"
"9/19/2016","12:17:08 AM","3602.740000","W"
"9/19/2016","12:17:09 AM","3602.740000","W"
"9/19/2016","12:17:10 AM","3710.390000","W"
"9/19/2016","12:17:11 AM","3757.850000","W"
"9/19/2016","12:17:12 AM","3757.850000","W"
"9/19/2016","12:17:13 AM","3707.920000","W"
"9/19/2016","12:17:14 AM","3676.680000","W"
"9/19/2016","12:17:15 AM","3676.680000","W"
"9/19/2016","12:17:16 AM","3656.530000","W"
"9/19/2016","12:17:17 AM","3729.250000","W"
"9/19/2016","12:17:18 AM","3548.910000","W"
"9/19/2016","12:17:19 AM","3548.910000","W"
"9/19/2016","12:17:20 AM","3686.540000","W"
"9/19/2016","12:17:21 AM","3686.540000","W"
"9/19/2016","12:17:22 AM","3718.040000","W"
"9/19/2016","12:17:23 AM","3670.840000","W"
"9/19/2016","12:17:24 AM","3657.170000","W"
"9/19/2016","12:17:25 AM","3657.170000","W"
"9/19/2016","12:17:26 AM","3763.950000","W"
"9/19/2016","12:17:27 AM","3674.370000","W"
"9/19/2016","12:17:28 AM","3674.370000","W"
"9/19/2016","12:17:29 AM","3681.110000","W"
"9/19/2016","12:17:30 AM","3500.270000","W"
"9/19/2016","12:17:31 AM","3500.270000","W"
"9/19/2016","12:17:32 AM","3696.810000","W"
"9/19/2016","12:17:33 AM","3568.370000","W"
"9/19/2016","12:17:34 AM","3568.370000","W"
"9/19/2016","12:17:35 AM","3762.710000","W"
"9/19/2016","12:17:36 AM","3925.910000","W"
"9/19/2016","12:17:37 AM","3925.910000","W"
"9/19/2016","12:17:38 AM","3661.460000","W"
"9/19/2016","12:17:39 AM","3314.520000","W"
"9/19/2016","12:17:40 AM","3314.520000","W"
"9/19/2016","12:17:41 AM","3403.870000","W"
"9/19/2016","12:17:42 AM","3420.190000","W"
"9/19/2016","12:17:43 AM","3364.830000","W"
"9/19/2016","12:17:44 AM","3364.830000","W"
"9/19/2016","12:17:45 AM","3900.400000","W"
"9/19/2016","12:17:46 AM","4272.190000","W"
"9/19/2016","12:17:47 AM","4272.190000","W"
"9/19/2016","12:17:48 AM","4824.960000","W"
"9/19/2016","12:17:49 AM","4982.560000","W"
"9/19/2016","12:17:50 AM","4982.560000","W"
"9/19/2016","12:17:51 AM","4961.520000","W"
"9/19/2016","12:17:52 AM","4820.260000","W"
"9/19/2016","12:17:53 AM","4820.260000","W"
"9/19/2016","12:17:54 AM","4751.220000","W"
"9/19/2016","12:17:55 AM","4460.010000","W"
"9/19/2016","12:17:56 AM","4460.010000","W"
"9/19/2016","12:17:57 AM","4557.900000","W"
"9/19/2016","12:17:58 AM","4193.890000","W"
"9/19/2016","12:17:59 AM","4061.900000","W"
"9/19/2016","12:18:00 AM","4061.900000","W"
"9/19/2016","12:18:01 AM","3857.620000","W"
"9/19/2016","12:18:02 AM","3850.010000","W"
"9/19/2016","12:18:03 AM","3850.010000","W"
"9/19/2016","12:18:04 AM","3556.320000","W"
"9/19/2016","12:18:05 AM","3140.170000","W"
"9/19/2016","12:18:06 AM","3140.170000","W"
"9/19/2016","12:18:07 AM","3022.050000","W"
"9/19/2016","12:18:08 AM","3085.920000","W"
"9/19/2016","12:18:09 AM","3085.920000","W"
"9/19/2016","12:18:10 AM","3173.900000","W"
"9/19/2016","12:18:11 AM","3008.430000","W"
"9/19/2016","12:18:12 AM","3008.430000","W"
"9/19/2016","12:18:13 AM","2922.560000","W"
"9/19/2016","12:18:14 AM","3012.330000","W"
"9/19/2016","12:18:15 AM","3012.330000","W"
"9/19/2016","12:18:16 AM","3022.140000","W"
"9/19/2016","12:18:17 AM","3321.900000","W"
"9/19/2016","12:18:18 AM","3321.900000","W"
"9/19/2016","12:18:19 AM","3382.800000","W"
"9/19/2016","12:18:20 AM","3037.160000","W"
"9/19/2016","12:18:21 AM","3037.160000","W"
"9/19/2016","12:18:22 AM","2978.740000","W"
"9/19/2016","12:18:23 AM","3055.010000","W"
"9/19/2016","12:18:24 AM","3055.010000","W"
"9/19/2016","12:18:25 AM","3023.570000","W"
"9/19/2016","12:18:26 AM","3141.690000","W"
"9/19/2016","12:18:27 AM","3141.690000","W"
"9/19/2016","12:18:28 AM","3067.140000","W"
"9/19/2016","12:18:29 AM","3140.230000","W"
"9/19/2016","12:18:30 AM","3140.230000","W"
"9/19/2016","12:18:31 AM","3229.100000","W"
"9/19/2016","12:18:32 AM","3433.130000","W"
"9/19/2016","12:18:33 AM","3328.780000","W"
"9/19/2016","12:18:34 AM","3328.780000","W"
"9/19/2016","12:18:35 AM","3693.020000","W"
"9/19/2016","12:18:36 AM","3658.480000","W"
"9/19/2016","12:18:37 AM","3658.480000","W"
"9/19/2016","12:18:38 AM","3345.950000","W"
"9/19/2016","12:18:39 AM","3388.450000","W"
"9/19/2016","12:18:40 AM","3388.450000","W"
"9/19/2016","12:18:41 AM","3301.010000","W"
"9/19/2016","12:18:42 AM","3248.900000","W"
"9/19/2016","12:18:43 AM","3248.900000","W"
"9/19/2016","12:18:44 AM","3455.770000","W"
"9/19/2016","12:18:45 AM","3370.300000","W"
"9/19/2016","12:18:46 AM","3370.300000","W"
"9/19/2016","12:18:47 AM","3312.220000","W"
"9/19/2016","12:18:48 AM","2913.420000","W"
"9/19/2016","12:18:49 AM","2913.420000","W"
"9/19/2016","12:18:50 AM","2968.490000","W"
"9/19/2016","12:18:51 AM","2751.950000","W"
"9/19/2016","12:18:52 AM","2751.950000","W"
"9/19/2016","12:18:53 AM","2772.770000","W"
"9/19/2016","12:18:54 AM","2746.960000","W"
"9/19/2016","12:18:55 AM","2722.490000","W"
"9/19/2016","12:18:56 AM","2722.490000","W"
"9/19/2016","12:18:57 AM","2783.760000","W"
"9/19/2016","12:18:58 AM","2746.000000","W"
"9/19/2016","12:18:59 AM","2746.000000","W"
"9/19/2016","12:19:00 AM","2723.120000","W"
"9/19/2016","12:19:01 AM","2778.290000","W"
"9/19/2016","12:19:02 AM","2778.290000","W"
"9/19/2016","12:19:03 AM","2757.780000","W"
"9/19/2016","12:19:04 AM","2741.320000","W"
"9/19/2016","12:19:05 AM","2741.320000","W"
"9/19/2016","12:19:06 AM","2717.800000","W"
"9/19/2016","12:19:07 AM","2799.910000","W"
"9/19/2016","12:19:08 AM","2799.910000","W"
"9/19/2016","12:19:09 AM","3066.430000","W"
"9/19/2016","12:19:10 AM","3215.820000","W"
"9/19/2016","12:19:11 AM","3215.820000","W"
"9/19/2016","12:19:12 AM","3311.280000","W"
"9/19/2016","12:19:13 AM","3301.140000","W"
"9/19/2016","12:19:14 AM","3286.420000","W"
"9/19/2016","12:19:15 AM","3286.420000","W"
"9/19/2016","12:19:16 AM","3312.780000","W"
"9/19/2016","12:19:17 AM","3305.550000","W"
"9/19/2016","12:19:18 AM","3305.550000","W"
"9/19/2016","12:19:19 AM","3322.740000","W"
"9/19/2016","12:19:20 AM","3294.240000","W"
"9/19/2016","12:19:21 AM","3294.240000","W"
"9/19/2016","12:19:22 AM","3294.820000","W"
"9/19/2016","12:19:23 AM","3293.920000","W"
"9/19/2016","12:19:24 AM","3293.920000","W"
"9/19/2016","12:19:25 AM","3304.080000","W"
"9/19/2016","12:19:26 AM","3318.560000","W"
"9/19/2016","12:19:27 AM","3318.560000","W"
"9/19/2016","12:19:28 AM","3303.860000","W"
"9/19/2016","12:19:29 AM","3319.370000","W"
"9/19/2016","12:19:30 AM","3319.370000","W"
"9/19/2016","12:19:31 AM","3344.070000","W"
"9/19/2016","12:19:32 AM","3347.760000","W"
