"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/20/2016","03:15:35","3047.680000","W"
"9/20/2016","03:15:36","3033.800000","W"
"9/20/2016","03:15:37","3033.800000","W"
"9/20/2016","03:15:38","3095.840000","W"
"9/20/2016","03:15:39","3050.020000","W"
"9/20/2016","03:15:40","3050.020000","W"
"9/20/2016","03:15:41","3041.920000","W"
"9/20/2016","03:15:42","3047.600000","W"
"9/20/2016","03:15:43","3047.600000","W"
"9/20/2016","03:15:44","3052.750000","W"
"9/20/2016","03:15:45","3052.750000","W"
"9/20/2016","03:15:46","3042.190000","W"
"9/20/2016","03:15:47","3042.190000","W"
"9/20/2016","03:15:48","3039.570000","W"
"9/20/2016","03:15:49","3030.220000","W"
"9/20/2016","03:15:50","3030.220000","W"
"9/20/2016","03:15:51","3082.290000","W"
"9/20/2016","03:15:52","3042.820000","W"
"9/20/2016","03:15:53","3042.820000","W"
"9/20/2016","03:15:54","3044.040000","W"
"9/20/2016","03:15:55","3044.040000","W"
"9/20/2016","03:15:56","3041.150000","W"
"9/20/2016","03:15:57","3052.990000","W"
"9/20/2016","03:15:58","3038.560000","W"
"9/20/2016","03:15:59","3038.560000","W"
"9/20/2016","03:16:00","3054.310000","W"
"9/20/2016","03:16:01","3054.310000","W"
"9/20/2016","03:16:02","3077.830000","W"
"9/20/2016","03:16:03","3027.080000","W"
"9/20/2016","03:16:04","3027.080000","W"
"9/20/2016","03:16:05","3031.350000","W"
"9/20/2016","03:16:06","3031.350000","W"
"9/20/2016","03:16:07","3045.270000","W"
"9/20/2016","03:16:08","3039.020000","W"
"9/20/2016","03:16:09","3039.020000","W"
"9/20/2016","03:16:10","3041.080000","W"
"9/20/2016","03:16:11","3043.570000","W"
"9/20/2016","03:16:12","3043.570000","W"
"9/20/2016","03:16:13","3049.130000","W"
"9/20/2016","03:16:14","3049.130000","W"
"9/20/2016","03:16:15","3037.160000","W"
"9/20/2016","03:16:16","3020.590000","W"
"9/20/2016","03:16:17","3020.590000","W"
"9/20/2016","03:16:18","3023.470000","W"
"9/20/2016","03:16:19","3036.520000","W"
"9/20/2016","03:16:20","3036.520000","W"
"9/20/2016","03:16:21","3048.150000","W"
"9/20/2016","03:16:22","3048.150000","W"
"9/20/2016","03:16:23","3040.810000","W"
"9/20/2016","03:16:24","3030.480000","W"
"9/20/2016","03:16:25","3030.480000","W"
"9/20/2016","03:16:26","3037.120000","W"
"9/20/2016","03:16:27","3037.120000","W"
"9/20/2016","03:16:28","2989.930000","W"
"9/20/2016","03:16:29","2997.170000","W"
"9/20/2016","03:16:30","2997.170000","W"
"9/20/2016","03:16:31","2972.360000","W"
"9/20/2016","03:16:32","2971.910000","W"
"9/20/2016","03:16:33","2971.910000","W"
"9/20/2016","03:16:34","2970.620000","W"
"9/20/2016","03:16:35","2970.620000","W"
"9/20/2016","03:16:36","2986.640000","W"
"9/20/2016","03:16:37","2979.710000","W"
"9/20/2016","03:16:38","2979.710000","W"
