"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/20/2016","14:28:20","2982.080000","W"
"9/20/2016","14:28:21","2982.080000","W"
"9/20/2016","14:28:22","2952.040000","W"
"9/20/2016","14:28:23","2952.040000","W"
"9/20/2016","14:28:24","2946.390000","W"
"9/20/2016","14:28:25","2954.060000","W"
"9/20/2016","14:28:26","2954.060000","W"
"9/20/2016","14:28:27","2946.590000","W"
"9/20/2016","14:28:28","2951.670000","W"
"9/20/2016","14:28:29","2947.970000","W"
"9/20/2016","14:28:30","2947.970000","W"
"9/20/2016","14:28:31","2959.740000","W"
"9/20/2016","14:28:32","2954.570000","W"
"9/20/2016","14:28:33","2954.570000","W"
"9/20/2016","14:28:34","2954.300000","W"
"9/20/2016","14:28:35","2959.570000","W"
"9/20/2016","14:28:36","2959.570000","W"
"9/20/2016","14:28:37","2951.200000","W"
"9/20/2016","14:28:38","2965.320000","W"
"9/20/2016","14:28:39","2965.320000","W"
"9/20/2016","14:28:40","2958.510000","W"
"9/20/2016","14:28:41","2958.510000","W"
"9/20/2016","14:28:42","3000.140000","W"
"9/20/2016","14:28:43","3000.140000","W"
"9/20/2016","14:28:44","2968.630000","W"
"9/20/2016","14:28:45","2968.630000","W"
"9/20/2016","14:28:46","2960.490000","W"
"9/20/2016","14:28:47","2956.020000","W"
"9/20/2016","14:28:48","2956.020000","W"
"9/20/2016","14:28:49","2959.750000","W"
"9/20/2016","14:28:50","2959.750000","W"
"9/20/2016","14:28:51","2963.560000","W"
"9/20/2016","14:28:52","2958.970000","W"
"9/20/2016","14:28:53","2958.970000","W"
"9/20/2016","14:28:54","2968.170000","W"
"9/20/2016","14:28:55","2968.170000","W"
"9/20/2016","14:28:56","2975.760000","W"
"9/20/2016","14:28:57","2965.370000","W"
"9/20/2016","14:28:58","2965.370000","W"
"9/20/2016","14:28:59","2955.100000","W"
"9/20/2016","14:29:00","2960.550000","W"
"9/20/2016","14:29:01","2960.550000","W"
"9/20/2016","14:29:02","2969.490000","W"
"9/20/2016","14:29:03","2969.490000","W"
"9/20/2016","14:29:04","2987.300000","W"
"9/20/2016","14:29:05","2959.240000","W"
"9/20/2016","14:29:06","2959.240000","W"
"9/20/2016","14:29:07","3005.630000","W"
"9/20/2016","14:29:08","3005.630000","W"
"9/20/2016","14:29:09","2978.070000","W"
