"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/1/2016","12:19:33","2662.680000","W"
"10/1/2016","12:19:34","2651.360000","W"
"10/1/2016","12:19:35","2651.360000","W"
"10/1/2016","12:19:36","2658.050000","W"
"10/1/2016","12:19:37","2654.400000","W"
"10/1/2016","12:19:38","2654.400000","W"
"10/1/2016","12:19:39","2655.680000","W"
"10/1/2016","12:19:40","2657.100000","W"
"10/1/2016","12:19:41","2657.100000","W"
"10/1/2016","12:19:42","2657.930000","W"
"10/1/2016","12:19:43","2658.380000","W"
"10/1/2016","12:19:44","2657.670000","W"
"10/1/2016","12:19:45","2657.670000","W"
"10/1/2016","12:19:46","2656.000000","W"
"10/1/2016","12:19:47","2660.180000","W"
"10/1/2016","12:19:48","2660.180000","W"
"10/1/2016","12:19:49","2655.290000","W"
"10/1/2016","12:19:50","2656.000000","W"
"10/1/2016","12:19:51","2656.000000","W"
"10/1/2016","12:19:52","2659.520000","W"
"10/1/2016","12:19:53","2666.580000","W"
"10/1/2016","12:19:54","2666.580000","W"
"10/1/2016","12:19:55","2721.350000","W"
"10/1/2016","12:19:56","2665.230000","W"
"10/1/2016","12:19:57","2665.230000","W"
"10/1/2016","12:19:58","2688.340000","W"
"10/1/2016","12:19:59","2657.210000","W"
"10/1/2016","12:20:00","2657.210000","W"
"10/1/2016","12:20:01","2657.920000","W"
"10/1/2016","12:20:02","2656.270000","W"
"10/1/2016","12:20:03","2657.830000","W"
"10/1/2016","12:20:04","2657.830000","W"
"10/1/2016","12:20:05","2678.670000","W"
"10/1/2016","12:20:06","2676.630000","W"
"10/1/2016","12:20:07","2676.630000","W"
"10/1/2016","12:20:08","2665.940000","W"
"10/1/2016","12:20:09","2658.610000","W"
"10/1/2016","12:20:10","2658.610000","W"
"10/1/2016","12:20:11","2660.460000","W"
"10/1/2016","12:20:12","2661.340000","W"
"10/1/2016","12:20:13","2661.340000","W"
"10/1/2016","12:20:14","2656.710000","W"
"10/1/2016","12:20:15","2673.760000","W"
"10/1/2016","12:20:16","2673.760000","W"
"10/1/2016","12:20:17","2681.000000","W"
"10/1/2016","12:20:18","3469.340000","W"
"10/1/2016","12:20:19","3422.680000","W"
"10/1/2016","12:20:20","3422.680000","W"
"10/1/2016","12:20:21","3169.650000","W"
"10/1/2016","12:20:22","3144.050000","W"
"10/1/2016","12:20:23","3144.050000","W"
"10/1/2016","12:20:24","3207.770000","W"
"10/1/2016","12:20:25","3093.530000","W"
"10/1/2016","12:20:26","3093.530000","W"
"10/1/2016","12:20:27","4180.930000","W"
"10/1/2016","12:20:28","4321.720000","W"
"10/1/2016","12:20:29","4321.720000","W"
"10/1/2016","12:20:30","4600.070000","W"
"10/1/2016","12:20:31","4597.940000","W"
"10/1/2016","12:20:32","4597.940000","W"
"10/1/2016","12:20:33","4549.660000","W"
"10/1/2016","12:20:34","4561.370000","W"
