"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/1/2016","22:43:14","3199.060000","W"
"10/1/2016","22:43:15","3199.060000","W"
"10/1/2016","22:43:16","3212.120000","W"
"10/1/2016","22:43:17","3194.640000","W"
"10/1/2016","22:43:18","3194.640000","W"
"10/1/2016","22:43:19","3195.440000","W"
"10/1/2016","22:43:20","3203.120000","W"
"10/1/2016","22:43:21","3209.610000","W"
"10/1/2016","22:43:22","3209.610000","W"
"10/1/2016","22:43:23","3200.400000","W"
"10/1/2016","22:43:24","3197.860000","W"
"10/1/2016","22:43:25","3197.860000","W"
"10/1/2016","22:43:26","3200.570000","W"
"10/1/2016","22:43:27","3199.190000","W"
"10/1/2016","22:43:28","3199.190000","W"
"10/1/2016","22:43:29","3207.410000","W"
"10/1/2016","22:43:30","3211.100000","W"
"10/1/2016","22:43:31","3211.100000","W"
"10/1/2016","22:43:32","3206.130000","W"
"10/1/2016","22:43:33","3209.160000","W"
"10/1/2016","22:43:34","3209.160000","W"
"10/1/2016","22:43:35","3192.230000","W"
"10/1/2016","22:43:36","3188.850000","W"
"10/1/2016","22:43:37","3188.850000","W"
"10/1/2016","22:43:38","3189.740000","W"
"10/1/2016","22:43:39","3193.530000","W"
"10/1/2016","22:43:40","3193.530000","W"
"10/1/2016","22:43:41","3201.020000","W"
"10/1/2016","22:43:42","3197.640000","W"
"10/1/2016","22:43:43","3196.240000","W"
"10/1/2016","22:43:44","3196.240000","W"
"10/1/2016","22:43:45","3200.840000","W"
"10/1/2016","22:43:46","3197.480000","W"
"10/1/2016","22:43:47","3197.480000","W"
"10/1/2016","22:43:48","3198.680000","W"
"10/1/2016","22:43:49","3195.250000","W"
"10/1/2016","22:43:50","3195.250000","W"
"10/1/2016","22:43:51","3194.110000","W"
"10/1/2016","22:43:52","3197.270000","W"
"10/1/2016","22:43:53","3197.270000","W"
"10/1/2016","22:43:54","3198.300000","W"
"10/1/2016","22:43:55","3200.060000","W"
"10/1/2016","22:43:56","3200.060000","W"
"10/1/2016","22:43:57","3204.810000","W"
"10/1/2016","22:43:58","3215.890000","W"
"10/1/2016","22:43:59","3215.890000","W"
"10/1/2016","22:44:00","3200.710000","W"
"10/1/2016","22:44:01","3186.960000","W"
"10/1/2016","22:44:02","3186.960000","W"
"10/1/2016","22:44:03","3195.710000","W"
"10/1/2016","22:44:04","3190.090000","W"
"10/1/2016","22:44:05","3190.090000","W"
"10/1/2016","22:44:06","3196.450000","W"
"10/1/2016","22:44:07","3207.580000","W"
"10/1/2016","22:44:08","3199.100000","W"
"10/1/2016","22:44:09","3199.100000","W"
"10/1/2016","22:44:10","3195.790000","W"
"10/1/2016","22:44:11","3194.170000","W"
"10/1/2016","22:44:12","3194.170000","W"
"10/1/2016","22:44:13","3201.090000","W"
"10/1/2016","22:44:14","3203.180000","W"
"10/1/2016","22:44:15","3203.180000","W"
"10/1/2016","22:44:16","3483.390000","W"
"10/1/2016","22:44:17","3525.390000","W"
"10/1/2016","22:44:18","3525.390000","W"
"10/1/2016","22:44:19","3278.490000","W"
"10/1/2016","22:44:20","3213.900000","W"
"10/1/2016","22:44:21","3213.900000","W"
"10/1/2016","22:44:22","3217.820000","W"
"10/1/2016","22:44:23","3204.270000","W"
"10/1/2016","22:44:24","3204.270000","W"
"10/1/2016","22:44:25","3191.250000","W"
"10/1/2016","22:44:26","3212.270000","W"
"10/1/2016","22:44:27","3212.270000","W"
"10/1/2016","22:44:28","3198.570000","W"
"10/1/2016","22:44:29","3192.600000","W"
"10/1/2016","22:44:30","3214.450000","W"
"10/1/2016","22:44:31","3214.450000","W"
"10/1/2016","22:44:32","3419.290000","W"
"10/1/2016","22:44:33","3322.430000","W"
"10/1/2016","22:44:34","3322.430000","W"
"10/1/2016","22:44:35","3278.720000","W"
"10/1/2016","22:44:36","3283.220000","W"
"10/1/2016","22:44:37","3283.220000","W"
"10/1/2016","22:44:38","3280.260000","W"
"10/1/2016","22:44:39","3293.570000","W"
"10/1/2016","22:44:40","3293.570000","W"
"10/1/2016","22:44:41","3256.920000","W"
"10/1/2016","22:44:42","3286.560000","W"
"10/1/2016","22:44:43","3286.560000","W"
"10/1/2016","22:44:44","3292.360000","W"
"10/1/2016","22:44:45","3302.030000","W"
"10/1/2016","22:44:46","3302.030000","W"
"10/1/2016","22:44:47","3294.010000","W"
"10/1/2016","22:44:48","3300.630000","W"
"10/1/2016","22:44:49","3300.630000","W"
"10/1/2016","22:44:50","3283.150000","W"
"10/1/2016","22:44:51","3281.400000","W"
"10/1/2016","22:44:52","3281.400000","W"
"10/1/2016","22:44:53","3267.180000","W"
"10/1/2016","22:44:54","3275.850000","W"
"10/1/2016","22:44:55","3275.850000","W"
"10/1/2016","22:44:56","3300.110000","W"
"10/1/2016","22:44:57","3307.550000","W"
"10/1/2016","22:44:58","3307.550000","W"
"10/1/2016","22:44:59","3284.390000","W"
"10/1/2016","22:45:00","3290.030000","W"
"10/1/2016","22:45:01","3290.030000","W"
"10/1/2016","22:45:02","3285.000000","W"
"10/1/2016","22:45:03","3285.180000","W"
"10/1/2016","22:45:04","3285.180000","W"
"10/1/2016","22:45:05","3271.640000","W"
"10/1/2016","22:45:06","3263.080000","W"
"10/1/2016","22:45:07","3277.560000","W"
"10/1/2016","22:45:08","3277.560000","W"
"10/1/2016","22:45:09","3277.950000","W"
"10/1/2016","22:45:10","3277.060000","W"
"10/1/2016","22:45:11","3277.060000","W"
"10/1/2016","22:45:12","3264.630000","W"
"10/1/2016","22:45:13","3282.710000","W"
"10/1/2016","22:45:14","3282.710000","W"
"10/1/2016","22:45:15","3310.710000","W"
"10/1/2016","22:45:16","3265.770000","W"
"10/1/2016","22:45:17","3265.770000","W"
