"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/30/2016","18:54:36","2638.320000","W"
"9/30/2016","18:54:39","2630.170000","W"
"9/30/2016","18:54:42","2626.720000","W"
"9/30/2016","18:54:45","2630.240000","W"
"9/30/2016","18:54:48","2631.710000","W"
"9/30/2016","18:54:51","2643.490000","W"
"9/30/2016","18:54:54","2629.180000","W"
"9/30/2016","18:54:57","2639.850000","W"
"9/30/2016","18:55:00","2631.000000","W"
"9/30/2016","18:55:03","2630.210000","W"
"9/30/2016","18:55:06","2633.120000","W"
"9/30/2016","18:55:09","2633.800000","W"
"9/30/2016","18:55:12","2637.130000","W"
"9/30/2016","18:55:15","2641.350000","W"
"9/30/2016","18:55:18","2637.810000","W"
"9/30/2016","18:55:21","2635.960000","W"
"9/30/2016","18:55:24","2635.360000","W"
"9/30/2016","18:55:27","2635.870000","W"
"9/30/2016","18:55:30","2645.420000","W"
"9/30/2016","18:55:33","2635.410000","W"
"9/30/2016","18:55:36","2631.960000","W"
"9/30/2016","18:55:39","2630.490000","W"
"9/30/2016","18:55:42","2636.430000","W"
"9/30/2016","18:55:45","2641.160000","W"
"9/30/2016","18:55:48","2642.260000","W"
"9/30/2016","18:55:51","3241.150000","W"
"9/30/2016","18:55:54","3243.900000","W"
"9/30/2016","18:55:57","4405.120000","W"
"9/30/2016","18:56:00","5002.500000","W"
"9/30/2016","18:56:03","4999.930000","W"
"9/30/2016","18:56:06","4956.120000","W"
"9/30/2016","18:56:09","4639.090000","W"
"9/30/2016","18:56:12","4237.390000","W"
"9/30/2016","18:56:15","3757.540000","W"
"9/30/2016","18:56:18","3356.370000","W"
"9/30/2016","18:56:21","3431.300000","W"
"9/30/2016","18:56:24","3560.800000","W"
"9/30/2016","18:56:27","3644.230000","W"
"9/30/2016","18:56:30","3550.740000","W"
"9/30/2016","18:56:33","3043.220000","W"
"9/30/2016","18:56:36","3000.160000","W"
"9/30/2016","18:56:39","3231.530000","W"
"9/30/2016","18:56:42","3529.120000","W"
"9/30/2016","18:56:45","3453.520000","W"
"9/30/2016","18:56:48","3540.410000","W"
"9/30/2016","18:56:51","3620.730000","W"
"9/30/2016","18:56:54","3455.010000","W"
"9/30/2016","18:56:57","3311.590000","W"
"9/30/2016","18:57:00","3014.140000","W"
"9/30/2016","18:57:03","3075.200000","W"
"9/30/2016","18:57:06","3014.680000","W"
"9/30/2016","18:57:09","3063.040000","W"
"9/30/2016","18:57:12","2689.410000","W"
"9/30/2016","18:57:15","2657.690000","W"
"9/30/2016","18:57:18","2701.610000","W"
"9/30/2016","18:57:21","2760.030000","W"
"9/30/2016","18:57:24","2671.150000","W"
"9/30/2016","18:57:27","2676.140000","W"
"9/30/2016","18:57:30","2674.880000","W"
"9/30/2016","18:57:33","2673.390000","W"
"9/30/2016","18:57:36","2657.890000","W"
"9/30/2016","18:57:39","2655.380000","W"
"9/30/2016","18:57:42","2667.400000","W"
"9/30/2016","18:57:45","2833.800000","W"
"9/30/2016","18:57:48","2745.830000","W"
"9/30/2016","18:57:51","2791.420000","W"
"9/30/2016","18:57:54","2825.160000","W"
"9/30/2016","18:57:57","2721.280000","W"
"9/30/2016","18:58:00","2814.120000","W"
"9/30/2016","18:58:03","2652.270000","W"
"9/30/2016","18:58:06","2778.560000","W"
"9/30/2016","18:58:09","2660.110000","W"
"9/30/2016","18:58:12","2645.350000","W"
"9/30/2016","18:58:15","2642.580000","W"
"9/30/2016","18:58:18","2638.390000","W"
"9/30/2016","18:58:21","2651.970000","W"
"9/30/2016","18:58:24","2640.940000","W"
"9/30/2016","18:58:27","2644.610000","W"
"9/30/2016","18:58:30","2645.740000","W"
"9/30/2016","18:58:33","2644.000000","W"
"9/30/2016","18:58:36","2637.780000","W"
"9/30/2016","18:58:39","2638.280000","W"
"9/30/2016","18:58:42","2646.360000","W"
"9/30/2016","18:58:45","2640.420000","W"
"9/30/2016","18:58:48","2654.110000","W"
"9/30/2016","18:58:51","2754.190000","W"
"9/30/2016","18:58:54","3105.780000","W"
"9/30/2016","18:58:57","3727.470000","W"
"9/30/2016","18:59:00","4842.130000","W"
"9/30/2016","18:59:03","3388.180000","W"
"9/30/2016","18:59:06","3236.460000","W"
"9/30/2016","18:59:09","3550.680000","W"
"9/30/2016","18:59:12","3451.580000","W"
"9/30/2016","18:59:15","3502.380000","W"
"9/30/2016","18:59:18","4608.870000","W"
"9/30/2016","18:59:21","4963.000000","W"
"9/30/2016","18:59:24","4638.700000","W"
"9/30/2016","18:59:27","4677.740000","W"
"9/30/2016","18:59:30","4552.930000","W"
"9/30/2016","18:59:33","4680.250000","W"
