"Date of Measurement","Time of Measurement","W","Measurement Units"
"10/1/2016","22:50:03","3190.760000","W"
"10/1/2016","22:50:06","3197.520000","W"
"10/1/2016","22:50:09","3188.190000","W"
"10/1/2016","22:50:12","3194.000000","W"
"10/1/2016","22:50:15","3196.350000","W"
"10/1/2016","22:50:18","3194.520000","W"
"10/1/2016","22:50:21","3195.510000","W"
"10/1/2016","22:50:24","3187.700000","W"
"10/1/2016","22:50:27","3185.770000","W"
"10/1/2016","22:50:30","3188.550000","W"
"10/1/2016","22:50:33","3186.390000","W"
"10/1/2016","22:50:36","3186.520000","W"
"10/1/2016","22:50:39","3186.330000","W"
"10/1/2016","22:50:42","3346.250000","W"
"10/1/2016","22:50:45","3369.490000","W"
"10/1/2016","22:50:48","3273.080000","W"
"10/1/2016","22:50:51","3742.720000","W"
"10/1/2016","22:50:54","4617.190000","W"
"10/1/2016","22:50:57","4698.500000","W"
"10/1/2016","22:51:00","4568.760000","W"
"10/1/2016","22:51:03","3733.300000","W"
"10/1/2016","22:51:06","3448.320000","W"
"10/1/2016","22:51:09","3563.220000","W"
"10/1/2016","22:51:12","3576.690000","W"
"10/1/2016","22:51:15","3712.660000","W"
"10/1/2016","22:51:18","3717.250000","W"
"10/1/2016","22:51:21","3541.610000","W"
"10/1/2016","22:51:24","3582.730000","W"
"10/1/2016","22:51:27","3589.660000","W"
"10/1/2016","22:51:30","3676.100000","W"
"10/1/2016","22:51:33","3643.360000","W"
"10/1/2016","22:51:36","3894.310000","W"
"10/1/2016","22:51:39","3990.460000","W"
"10/1/2016","22:51:42","4212.730000","W"
"10/1/2016","22:51:45","4067.250000","W"
"10/1/2016","22:51:48","3343.050000","W"
"10/1/2016","22:51:51","3599.200000","W"
"10/1/2016","22:51:54","3852.250000","W"
"10/1/2016","22:51:57","3520.860000","W"
"10/1/2016","22:52:00","2928.980000","W"
"10/1/2016","22:52:03","2909.270000","W"
"10/1/2016","22:52:06","2923.820000","W"
"10/1/2016","22:52:09","2883.220000","W"
"10/1/2016","22:52:12","2929.880000","W"
"10/1/2016","22:52:15","3061.250000","W"
"10/1/2016","22:52:18","3096.120000","W"
"10/1/2016","22:52:21","3051.340000","W"
"10/1/2016","22:52:24","2738.370000","W"
"10/1/2016","22:52:27","2716.740000","W"
"10/1/2016","22:52:30","2749.200000","W"
"10/1/2016","22:52:33","2810.010000","W"
"10/1/2016","22:52:36","2734.320000","W"
"10/1/2016","22:52:39","2904.820000","W"
"10/1/2016","22:52:42","2941.990000","W"
"10/1/2016","22:52:45","3184.100000","W"
"10/1/2016","22:52:48","3213.140000","W"
"10/1/2016","22:52:51","2716.590000","W"
"10/1/2016","22:52:54","2850.590000","W"
"10/1/2016","22:52:57","2761.840000","W"
"10/1/2016","22:53:00","2695.690000","W"
"10/1/2016","22:53:03","2685.600000","W"
"10/1/2016","22:53:06","2688.140000","W"
"10/1/2016","22:53:09","2682.390000","W"
"10/1/2016","22:53:12","2689.350000","W"
"10/1/2016","22:53:15","2697.230000","W"
"10/1/2016","22:53:18","2816.590000","W"
"10/1/2016","22:53:21","2868.460000","W"
"10/1/2016","22:53:24","2683.320000","W"
"10/1/2016","22:53:27","2678.770000","W"
"10/1/2016","22:53:30","2679.260000","W"
"10/1/2016","22:53:33","2676.610000","W"
"10/1/2016","22:53:36","2683.550000","W"
"10/1/2016","22:53:39","2688.070000","W"
"10/1/2016","22:53:42","2685.330000","W"
"10/1/2016","22:53:45","2713.230000","W"
"10/1/2016","22:53:48","2725.090000","W"
"10/1/2016","22:53:51","2679.890000","W"
"10/1/2016","22:53:54","2682.830000","W"
"10/1/2016","22:53:57","2670.800000","W"
"10/1/2016","22:54:00","2665.200000","W"
"10/1/2016","22:54:03","2658.950000","W"
"10/1/2016","22:54:06","2663.920000","W"
"10/1/2016","22:54:09","2658.120000","W"
"10/1/2016","22:54:12","2657.820000","W"
"10/1/2016","22:54:15","2677.290000","W"
"10/1/2016","22:54:18","2659.160000","W"
"10/1/2016","22:54:21","2669.540000","W"
"10/1/2016","22:54:24","2660.340000","W"
"10/1/2016","22:54:27","2661.250000","W"
"10/1/2016","22:54:30","2658.680000","W"
"10/1/2016","22:54:33","2656.740000","W"
"10/1/2016","22:54:36","2652.440000","W"
"10/1/2016","22:54:39","2651.370000","W"
"10/1/2016","22:54:42","2651.850000","W"
"10/1/2016","22:54:45","2654.830000","W"
"10/1/2016","22:54:48","2654.350000","W"
"10/1/2016","22:54:51","2653.400000","W"
"10/1/2016","22:54:54","2669.160000","W"
"10/1/2016","22:54:57","2678.650000","W"
"10/1/2016","22:55:00","2655.790000","W"
"10/1/2016","22:55:03","2649.690000","W"
"10/1/2016","22:55:06","2665.330000","W"
"10/1/2016","22:55:09","2654.410000","W"
"10/1/2016","22:55:12","2654.180000","W"
"10/1/2016","22:55:15","2665.920000","W"
"10/1/2016","22:55:18","2653.170000","W"
"10/1/2016","22:55:21","2660.720000","W"
"10/1/2016","22:55:24","2652.550000","W"
"10/1/2016","22:55:27","2661.380000","W"
"10/1/2016","22:55:30","2663.080000","W"
"10/1/2016","22:55:33","2656.220000","W"
"10/1/2016","22:55:36","2651.050000","W"
"10/1/2016","22:55:39","2652.100000","W"
"10/1/2016","22:55:42","2852.190000","W"
"10/1/2016","22:55:45","3140.970000","W"
"10/1/2016","22:55:48","3681.630000","W"
"10/1/2016","22:55:51","3968.730000","W"
"10/1/2016","22:55:54","3502.040000","W"
"10/1/2016","22:55:57","3903.270000","W"
"10/1/2016","22:56:00","3840.330000","W"
"10/1/2016","22:56:03","3871.750000","W"
"10/1/2016","22:56:06","4536.190000","W"
"10/1/2016","22:56:09","5292.930000","W"
"10/1/2016","22:56:12","5799.560000","W"
"10/1/2016","22:56:15","5648.630000","W"
"10/1/2016","22:56:18","5572.910000","W"
"10/1/2016","22:56:21","5716.620000","W"
"10/1/2016","22:56:24","5706.430000","W"
"10/1/2016","22:56:27","5746.820000","W"
"10/1/2016","22:56:30","5586.610000","W"
"10/1/2016","22:56:33","5773.350000","W"
"10/1/2016","22:56:36","5627.480000","W"
"10/1/2016","22:56:39","5790.090000","W"
"10/1/2016","22:56:42","5786.570000","W"
"10/1/2016","22:56:45","5767.930000","W"
"10/1/2016","22:56:48","5755.940000","W"
"10/1/2016","22:56:51","5839.420000","W"
"10/1/2016","22:56:54","5852.360000","W"
"10/1/2016","22:56:57","5861.740000","W"
"10/1/2016","22:57:00","5773.790000","W"
"10/1/2016","22:57:03","5825.430000","W"
"10/1/2016","22:57:06","5851.860000","W"
"10/1/2016","22:57:09","5902.890000","W"
"10/1/2016","22:57:12","5943.650000","W"
"10/1/2016","22:57:15","5781.600000","W"
"10/1/2016","22:57:18","5766.990000","W"
"10/1/2016","22:57:21","5861.540000","W"
"10/1/2016","22:57:24","6035.380000","W"
"10/1/2016","22:57:27","5927.060000","W"
"10/1/2016","22:57:30","5878.680000","W"
"10/1/2016","22:57:33","5876.090000","W"
"10/1/2016","22:57:36","6115.210000","W"
"10/1/2016","22:57:39","5972.880000","W"
"10/1/2016","22:57:42","5788.090000","W"
"10/1/2016","22:57:45","5823.360000","W"
"10/1/2016","22:57:48","5957.160000","W"
"10/1/2016","22:57:51","6028.540000","W"
"10/1/2016","22:57:54","5960.810000","W"
"10/1/2016","22:57:57","5904.450000","W"
"10/1/2016","22:58:00","5893.140000","W"
"10/1/2016","22:58:03","6003.810000","W"
"10/1/2016","22:58:06","5905.830000","W"
"10/1/2016","22:58:09","5941.790000","W"
"10/1/2016","22:58:12","5952.740000","W"
"10/1/2016","22:58:15","5979.200000","W"
"10/1/2016","22:58:18","6020.250000","W"
"10/1/2016","22:58:21","5888.050000","W"
"10/1/2016","22:58:24","5939.850000","W"
"10/1/2016","22:58:27","6097.000000","W"
"10/1/2016","22:58:30","5939.300000","W"
"10/1/2016","22:58:33","6027.170000","W"
"10/1/2016","22:58:36","5990.800000","W"
"10/1/2016","22:58:39","6071.490000","W"
"10/1/2016","22:58:42","5982.420000","W"
"10/1/2016","22:58:45","5995.920000","W"
"10/1/2016","22:58:48","6125.530000","W"
"10/1/2016","22:58:51","6063.970000","W"
"10/1/2016","22:58:54","6060.490000","W"
"10/1/2016","22:58:57","5944.430000","W"
"10/1/2016","22:59:00","6044.140000","W"
"10/1/2016","22:59:03","6054.870000","W"
"10/1/2016","22:59:06","5960.660000","W"
"10/1/2016","22:59:09","5989.370000","W"
"10/1/2016","22:59:12","5934.030000","W"
"10/1/2016","22:59:15","6155.690000","W"
