"Date of Measurement","Time of Measurement","W","Measurement Units"
"9/30/2016","18:54:01","2634.540000","W"
"9/30/2016","18:54:02","2634.540000","W"
"9/30/2016","18:54:03","2628.900000","W"
"9/30/2016","18:54:04","2628.550000","W"
"9/30/2016","18:54:05","2628.550000","W"
"9/30/2016","18:54:06","2625.930000","W"
"9/30/2016","18:54:07","2630.020000","W"
"9/30/2016","18:54:08","2630.020000","W"
"9/30/2016","18:54:09","2632.800000","W"
"9/30/2016","18:54:10","2654.450000","W"
"9/30/2016","18:54:37","2636.020000","W"
"9/30/2016","18:54:38","2642.920000","W"
"9/30/2016","18:54:39","2630.020000","W"
"9/30/2016","18:54:40","2630.020000","W"
"9/30/2016","18:54:41","2630.610000","W"
"9/30/2016","18:54:42","2627.350000","W"
"9/30/2016","18:54:43","2627.350000","W"
"9/30/2016","18:54:44","2624.850000","W"
"9/30/2016","18:54:45","2634.040000","W"
"9/30/2016","18:54:46","2625.350000","W"
"9/30/2016","18:54:47","2625.350000","W"
"9/30/2016","18:54:48","2633.140000","W"
"9/30/2016","18:54:49","2629.880000","W"
"9/30/2016","18:54:50","2629.880000","W"
"9/30/2016","18:54:51","2652.900000","W"
"9/30/2016","18:54:52","2631.390000","W"
"9/30/2016","18:54:53","2631.390000","W"
"9/30/2016","18:54:54","2631.680000","W"
"9/30/2016","18:54:55","2625.960000","W"
"9/30/2016","18:54:56","2625.960000","W"
"9/30/2016","18:54:57","2647.730000","W"
"9/30/2016","18:54:58","2629.710000","W"
"9/30/2016","18:54:59","2629.710000","W"
"9/30/2016","18:55:00","2631.340000","W"
"9/30/2016","18:55:01","2630.570000","W"
"9/30/2016","18:55:02","2630.570000","W"
"9/30/2016","18:55:03","2627.290000","W"
"9/30/2016","18:55:04","2633.980000","W"
"9/30/2016","18:55:05","2633.980000","W"
"9/30/2016","18:55:06","2634.180000","W"
"9/30/2016","18:55:07","2628.210000","W"
"9/30/2016","18:55:08","2634.450000","W"
"9/30/2016","18:55:09","2634.450000","W"
"9/30/2016","18:55:10","2631.070000","W"
"9/30/2016","18:55:11","2635.600000","W"
"9/30/2016","18:55:12","2635.600000","W"
"9/30/2016","18:55:13","2630.980000","W"
"9/30/2016","18:55:14","2645.180000","W"
"9/30/2016","18:55:15","2645.180000","W"
"9/30/2016","18:55:16","2629.010000","W"
"9/30/2016","18:55:17","2641.980000","W"
"9/30/2016","18:55:18","2641.980000","W"
"9/30/2016","18:55:19","2634.470000","W"
"9/30/2016","18:55:20","2630.920000","W"
"9/30/2016","18:55:21","2630.920000","W"
"9/30/2016","18:55:22","2646.500000","W"
"9/30/2016","18:55:23","2639.390000","W"
"9/30/2016","18:55:24","2639.390000","W"
"9/30/2016","18:55:25","2632.120000","W"
"9/30/2016","18:55:26","2628.710000","W"
"9/30/2016","18:55:27","2631.320000","W"
"9/30/2016","18:55:28","2631.320000","W"
"9/30/2016","18:55:29","2649.510000","W"
"9/30/2016","18:55:30","2649.640000","W"
"9/30/2016","18:55:31","2649.640000","W"
"9/30/2016","18:55:32","2632.730000","W"
"9/30/2016","18:55:33","2637.610000","W"
"9/30/2016","18:55:34","2637.610000","W"
"9/30/2016","18:55:35","2628.810000","W"
"9/30/2016","18:55:36","2632.680000","W"
"9/30/2016","18:55:37","2632.680000","W"
"9/30/2016","18:55:38","2629.800000","W"
"9/30/2016","18:55:39","2629.990000","W"
"9/30/2016","18:55:40","2629.990000","W"
"9/30/2016","18:55:41","2632.000000","W"
"9/30/2016","18:55:42","2633.070000","W"
"9/30/2016","18:55:43","2633.070000","W"
"9/30/2016","18:55:44","2646.540000","W"
"9/30/2016","18:55:45","2643.810000","W"
"9/30/2016","18:55:46","2637.750000","W"
"9/30/2016","18:55:47","2637.750000","W"
"9/30/2016","18:55:48","2649.770000","W"
"9/30/2016","18:55:49","2632.600000","W"
"9/30/2016","18:55:50","2632.600000","W"
"9/30/2016","18:55:51","2827.330000","W"
"9/30/2016","18:55:52","3773.210000","W"
"9/30/2016","18:55:53","3773.210000","W"
"9/30/2016","18:55:54","3096.930000","W"
"9/30/2016","18:55:55","3432.860000","W"
"9/30/2016","18:55:56","3432.860000","W"
"9/30/2016","18:55:57","4011.110000","W"
"9/30/2016","18:55:58","4911.710000","W"
"9/30/2016","18:55:59","4911.710000","W"
"9/30/2016","18:56:00","4995.020000","W"
"9/30/2016","18:56:01","5012.130000","W"
"9/30/2016","18:56:02","5012.130000","W"
